model_name,races,residual_mean,residual_sd,margin_mae,margin_rmse,brier,binary_log_loss,margin_negative_log_likelihood,expected_calibration_error,coverage_50,coverage_error_50,mean_half_width_50,coverage_80,coverage_error_80,mean_half_width_80,coverage_95,coverage_error_95,mean_half_width_95,mean_absolute_coverage_error,cycle
normal_mixture,33,3.8580918645652833,10.605674739204703,7.580532302515579,11.13358497782759,0.10255552842656199,0.4286199065752302,3.7402500858527263,0.12372259944283119,0.5151515151515151,0.015151515151515138,6.120089005837382,0.8181818181818182,0.018181818181818188,11.793092757594142,0.9090909090909091,-0.040909090909090895,18.9821483948502,0.02474747474747474,2018
normal_mixture,33,-3.1860150278252233,9.022161414667623,5.877790052014099,9.438402405505926,0.06146950527399012,0.2098862585167243,3.5675056101654237,0.11264130785553948,0.7272727272727273,0.2272727272727273,6.367577722062872,0.9090909090909091,0.10909090909090902,12.48526887542572,0.9393939393939394,-0.010606060606060508,21.761205860794462,0.11565656565656561,2020
normal_mixture,34,-2.1056509642186048,9.147254237349426,6.365000535565088,9.254462558131605,0.04865539890706152,0.1681375840104844,3.585069806192427,0.10380209743295765,0.6176470588235294,0.11764705882352944,6.3675777220628715,0.8823529411764706,0.08235294117647052,12.48526887542572,0.9705882352941176,0.020588235294117685,21.761205860794462,0.07352941176470588,2022
normal_mixture,34,-2.70860984545106,6.9834649689253325,5.4946378597720695,7.393982303015806,0.04217355561891812,0.15475897257806545,3.4875571083951575,0.09267844539703707,0.7058823529411765,0.20588235294117652,6.3675777220628715,0.9117647058823529,0.11176470588235288,12.48526887542572,1.0,0.050000000000000044,21.761205860794462,0.12254901960784315,2024
student_t,32,1.4201586774533537,13.48544276802854,10.233851287834128,13.348819455708954,0.11608240189626495,0.37381165005122297,4.17609103269292,0.13608531690513928,0.3125,-0.1875,4.589353970426067,0.53125,-0.26875000000000004,9.826466122177255,0.84375,-0.10624999999999996,19.094677831702246,0.1875,2012
student_t,35,-1.438725249126256,11.870085745771432,8.001189970943946,11.787416259715778,0.06606593722810537,0.22328592085457571,3.7437400885007603,0.10818342109860003,0.4857142857142857,-0.01428571428571429,5.163023216729325,0.7714285714285715,-0.02857142857142858,11.054774387449413,0.9714285714285714,0.021428571428571463,21.481512560665028,0.021428571428571446,2014
student_t,33,-6.923650110851862,14.227530911601027,10.997182044777823,15.627717281489511,0.096790572515164,0.28558399397266754,4.195523769654546,0.14045758386272733,0.2727272727272727,-0.2272727272727273,4.7805770525271525,0.6666666666666666,-0.13333333333333341,10.235902210601308,0.8484848484848485,-0.10151515151515145,19.890289408023172,0.15404040404040406,2016
student_t,33,3.8580918645652833,10.605674739204703,7.580532302515579,11.13358497782759,0.10115296950887413,0.4251122811130808,3.733737448713099,0.08912010007199031,0.45454545454545453,-0.04545454545454547,5.18487958878878,0.7878787878787878,-0.0121212121212122,10.732443918412608,0.9393939393939394,-0.010606060606060508,19.435115736384553,0.022727272727272724,2018
student_t,33,-3.1860150278252233,9.022161414667623,5.877790052014099,9.438402405505926,0.059994526035913195,0.20592340941797582,3.494360400565784,0.1101674404791288,0.6363636363636364,0.13636363636363635,5.354246298830411,0.9090909090909091,0.10909090909090902,11.464210475873465,0.9393939393939394,-0.010606060606060508,22.277124136985954,0.08535353535353529,2020
student_t,34,-2.1056509642186048,9.147254237349426,6.365000535565088,9.254462558131605,0.04647035957095187,0.16142171363226557,3.551400675540538,0.09874872637638185,0.5588235294117647,0.05882352941176472,5.354246298830411,0.8235294117647058,0.0235294117647058,11.464210475873465,0.9705882352941176,0.020588235294117685,22.277124136985957,0.03431372549019607,2022
