cycle,election_date,election_type,october_gas_price_nominal,october_gas_price_real,gas_change_3m_pct,gas_change_6m_pct,gas_change_12m_pct,real_gas_change_12m_pct,gas_change_jan_to_oct_pct,jan_oct_avg_gas,prior_year_jan_oct_avg_gas,jan_oct_vs_prior_year_pct,jan_oct_avg_real_gas,prior_year_jan_oct_avg_real_gas,real_jan_oct_vs_prior_year_pct,jan_oct_peak_gas,jan_oct_peak_month,peak_vs_prior_year_jan_oct_avg_pct,october_change_from_ytd_peak_pct
1996,1996-11-05,presidential,1.227,2.5884971825647507,-3.5377358490566,-1.918465227817734,8.873114463176579,5.709397934240301,8.680248007085932,1.2261000000000002,1.1564,6.027326184711179,2.6158275991138153,2.5380966997999885,3.0625665018969572,1.323,1996-05-01,14.406779661016934,-7.256235827664392
1998,1998-11-03,midterm,1.042,2.121816975609756,-3.429101019462455,-0.9505703422053258,-16.103059581320444,-17.330819685008446,-7.869142351900971,1.0698,1.2413999999999998,-13.823102948284172,2.1944176089925076,2.585599355549803,-15.129248300501475,1.131,1998-01-01,-8.893185113581426,-7.869142351900971
2000,2000-11-07,presidential,1.559,2.992133149425287,-2.1343377275580666,3.5192563081009265,22.37048665620094,18.29147043432755,19.83089930822444,1.5075999999999998,1.1419000000000001,32.02557141606093,2.928798493798613,2.29243029149874,27.75954429933092,1.617,2000-06-01,41.60609510465012,-3.5868893011750225
2002,2002-11-05,midterm,1.449,2.66903722007722,2.620396600566588,2.9850746268656803,6.38766519823788,4.275168812613717,27.216856892010544,1.3448,1.5138000000000003,-11.163958250759698,2.4987671352511036,2.8547819865742743,-12.470824497193455,1.449,2002-10-01,-4.280618311533901,0.0
2004,2004-11-02,presidential,2.029,3.5494426820324776,4.6415678184631215,10.69285324604474,26.575171553337483,22.66320972953084,27.449748743718573,1.8669999999999998,1.6059999999999999,16.251556662515565,3.3052029591749785,2.916447998496122,13.329740865577566,2.041,2004-06-01,27.085927770859275,-0.5879470847623747
2006,2006-11-07,midterm,2.272,3.759856015857284,-24.241413804601542,-17.591585056220538,-18.420107719928204,-19.47118660956243,-1.8574514038877,2.6491999999999996,2.3015,15.107538561807509,4.385594752566641,3.9365439202592682,11.407235417756944,2.999,2006-07-01,30.30632196393657,-24.241413804601542
2008,2008-11-04,presidential,3.173,4.8927137547154995,-22.42053789731051,-7.788433594885202,13.605442176870742,9.599380655329435,4.1352149655398796,3.5355000000000003,2.7518000000000002,28.479540664292458,5.457417880999849,4.44032256140104,22.905888154167965,4.09,2008-07-01,48.62998764445088,-22.42053789731051
2010,2010-11-02,midterm,2.795,4.267713283739729,2.1564327485380064,-2.2043386983904845,9.137055837563455,7.872586745965915,2.3434639326254114,2.7613,2.2921,20.470311068452496,4.232474958769772,3.56955613311587,18.571463816013424,2.869,2010-05-01,25.169058941581966,-2.5792959219240297
2012,2012-11-06,presidential,3.786,5.465842424032821,9.707331208345416,-3.59052711993888,9.169550173010377,6.858893724729187,11.385701676963823,3.6910000000000003,3.5619,3.624470086189957,5.3692234570015875,5.290491847455434,1.4881718338536132,3.927,2012-04-01,10.250147393245168,-3.59052711993888
2014,2014-11-04,midterm,3.182,4.475516309864257,-12.413982934214152,-13.036348729160974,-5.718518518518523,-7.261994440224928,-4.156626506024097,3.496,3.5784,-2.3027051196065185,4.925885884425451,5.130054281882176,-3.9798486768022445,3.695,2014-06-01,3.258439526045165,-13.883626522327464
2016,2016-11-08,presidential,2.243,3.0987359232859935,0.8089887640449378,5.107778819119035,-2.009611183923121,-3.5869171872713213,14.03152008134214,2.1283999999999996,2.5128,-15.297675899395113,2.9636068561623725,3.5385113227471137,-16.247071554893754,2.363,2016-06-01,-5.961477236548863,-5.0782903089293345
2018,2018-11-06,midterm,2.887,3.8124816576704825,0.4872955099199272,5.480453050785528,16.22383252818036,13.364253328186935,13.706183536825511,2.7739000000000003,2.3882999999999996,16.145375371603254,3.689587815765679,3.257342645427607,13.269871100138108,2.914,2018-06-01,22.011472595570105,-0.926561427590944
2020,2020-11-03,presidential,2.159,2.7689538995652643,-0.7812500000000111,15.085287846481863,-19.229330340441464,-20.172939020965806,-15.894039735099351,2.1835,2.6428,-17.379294687452695,2.820300805706033,3.4548206650185156,-18.366216971469974,2.567,2020-01-01,-2.8681701225972356,-15.894039735099351
2022,2022-11-08,midterm,4.016,4.500326268740856,-13.949003642596958,-5.970498712245376,18.641063515509604,10.112388483320412,17.667740990331104,4.1915,2.9716,41.05195854085339,4.79364194807862,3.6761567278885416,30.398193083348858,5.058,2022-06-01,70.2113339615022,-20.60102807433768
2024,2024-11-05,presidential,3.279,3.4689689289877848,-9.46990612921038,-13.16207627118644,-13.299841353781073,-15.49519580680463,1.8006830176963584,3.5058999999999996,3.7105999999999995,-5.516628038592142,3.7364981961087738,4.071475694908988,-8.227422288657472,3.776,2024-04-01,1.7625181911281373,-13.16207627118644
