simulation,dem_seats,dem_control,national_error
7329,55.0,1,6.74384118603198
7330,50.0,0,-3.5348850931196782
7331,49.0,0,-3.444184630882513
7332,52.0,1,1.1933162855249084
7333,54.0,1,6.383686708065302
7334,49.0,0,-3.1348086234343375
7335,53.0,1,0.6569779628285332
7336,47.0,0,-7.307069413347367
7337,49.0,0,-3.150603220861168
7338,46.0,0,-10.383278019156586
7339,49.0,0,-4.683720910183241
7340,54.0,1,8.162820691401091
7341,54.0,1,5.226851011579865
7342,53.0,1,2.700533487743586
7343,49.0,0,-2.0770139485469343
7344,50.0,0,-1.6151604093012462
7345,50.0,0,-4.786812504665187
7346,48.0,0,-6.018596751307046
7347,54.0,1,4.906853948220622
7348,51.0,1,0.6341913290511633
7349,49.0,0,-2.6471698801573784
7350,50.0,0,-0.9724909691864795
7351,52.0,1,0.6044959248193191
7352,49.0,0,-2.6753505854464
7353,50.0,0,-2.4394844244615577
7354,45.0,0,-9.415585177821555
7355,53.0,1,4.399951034938908
7356,49.0,0,-3.6658245649709276
7357,51.0,1,-0.16829153127195276
7358,50.0,0,-4.622655467676596
7359,51.0,1,0.20520384917579337
7360,52.0,1,-2.131957566560236
7361,51.0,1,0.3489921291452462
7362,46.0,0,-10.237682220502467
7363,53.0,1,4.411175123990092
7364,51.0,1,0.334877489467373
7365,50.0,0,-1.7988213396980695
7366,54.0,1,6.5574241092080525
7367,52.0,1,0.03920347671710214
7368,51.0,1,1.5610221875332806
7369,50.0,0,-0.9833209266621354
7370,49.0,0,-4.384894056035602
7371,48.0,0,-2.373791223861959
7372,54.0,1,5.810173661934913
7373,48.0,0,-6.216781213671825
7374,53.0,1,0.4514668341803354
7375,54.0,1,4.797534930575711
7376,48.0,0,-7.459021306473514
7377,51.0,1,0.5812875016378651
7378,48.0,0,-7.752898101645303
7379,46.0,0,-9.26983864362577
7380,50.0,0,0.1478148222006425
7381,52.0,1,2.0286389353795173
7382,49.0,0,-4.017051961826164
7383,48.0,0,-5.648470689754872
7384,54.0,1,4.149931826897653
7385,54.0,1,3.824867288938957
7386,54.0,1,4.103503927199182
7387,52.0,1,3.0711562420335894
7388,54.0,1,3.715715330536201
7389,48.0,0,-4.613887774251396
7390,49.0,0,-2.3103587922115474
7391,48.0,0,-6.564907140437034
7392,54.0,1,2.8127800418938325
