simulation,dem_seats,dem_control,national_error
12711,21.0,1,-2.006489008569179
12712,21.0,1,-0.20775867984756996
12713,21.0,1,-0.8228703987798329
12714,22.0,1,3.202636445247952
12715,23.0,1,3.402601085683215
12716,22.0,1,1.261078859068866
12717,18.0,1,-4.584322454230571
12718,22.0,1,0.5797522947124994
12719,23.0,1,1.267163396532502
12720,20.0,1,-1.6518810216654238
12721,22.0,1,0.7596082353322446
12722,23.0,1,2.0928543571155362
12723,23.0,1,2.2200599367357428
12724,20.0,1,-2.8656122782197038
12725,19.0,1,-2.971905267699729
12726,20.0,1,-1.0306957386971918
12727,21.0,1,-0.6540827070607409
12728,20.0,1,-2.3976507067288098
12729,21.0,1,-1.3300783192740904
12730,19.0,1,-4.131936085173095
12731,20.0,1,-3.407741856340626
12732,20.0,1,-1.8887722521114316
12733,21.0,1,-0.4401955575737333
12734,20.0,1,-1.2203305466053855
12735,19.0,1,-2.773335310068077
12736,23.0,1,3.7492638160207314
12737,20.0,1,-1.6757073414407506
12738,22.0,1,0.05240526051010387
12739,20.0,1,-2.337592832071842
12740,18.0,1,-4.5836781178163495
12741,23.0,1,5.493507260051599
12742,21.0,1,1.325431136443678
12743,23.0,1,3.682002128524401
12744,19.0,1,-4.256166365244442
12745,19.0,1,-2.5789440207701015
12746,22.0,1,2.035169873329742
12747,22.0,1,2.161012692187748
12748,23.0,1,5.59386339660995
12749,23.0,1,2.958530208068199
12750,22.0,1,2.216574834240872
12751,19.0,1,-3.047926819811165
12752,20.0,1,-1.5759758876477932
12753,18.0,1,-4.807624722530207
12754,22.0,1,4.364189900760592
12755,23.0,1,5.33358433171433
12756,22.0,1,2.2001307056922323
12757,23.0,1,3.0618077703654527
12758,22.0,1,2.12141332761912
12759,20.0,1,-0.13231246245071446
12760,20.0,1,-2.690235510629495
12761,23.0,1,3.5010636757007667
12762,23.0,1,3.912053910901229
12763,23.0,1,2.5893284143163684
12764,19.0,1,-1.2435737492589571
12765,21.0,1,0.3959543444331427
12766,21.0,1,-0.1835923248421956
12767,23.0,1,1.9529042570650097
12768,16.0,0,-7.81584671868805
12769,22.0,1,0.20936548703212432
12770,17.0,1,-7.116696001613579
12771,20.0,1,-2.5452376890008552
12772,21.0,1,0.4852952823899953
12773,22.0,1,1.6912013138771167
12774,23.0,1,4.366474248491067
12775,21.0,1,-0.5625156380743616
12776,22.0,1,0.5178990025748534
12777,22.0,1,3.645857219035182
12778,19.0,1,-2.271858230936262
12779,21.0,1,0.32144836881719796
12780,23.0,1,3.152803723065827
12781,21.0,1,0.5390125228967938
12782,23.0,1,2.6754224006323364
12783,19.0,1,-2.5609361018551504
12784,23.0,1,4.658647265211226
12785,19.0,1,-1.5364695666105248
12786,20.0,1,1.3000137796503706
12787,23.0,1,2.2923281843404633
12788,22.0,1,0.1401486052256071
12789,23.0,1,3.093942915282132
12790,20.0,1,-1.2111076792916866
12791,20.0,1,-3.518293510304038
12792,21.0,1,-1.038045522835443
12793,19.0,1,-4.139298780683664
12794,23.0,1,3.5931429413204032
12795,23.0,1,2.040039009558154
12796,19.0,1,-4.055499638853359
12797,20.0,1,-1.494279405165028
12798,22.0,1,1.2699207887796233
12799,22.0,1,0.3327721635488892
12800,23.0,1,3.804937381691128
12801,21.0,1,0.27562821324260883
12802,22.0,1,1.7866233362220034
12803,21.0,1,2.4720737932171217
12804,21.0,1,-0.8877964090245237
12805,21.0,1,-0.3190722868352968
12806,23.0,1,3.1537747519538115
12807,20.0,1,-1.9291063680527851
12808,23.0,1,4.02355308366774
12809,22.0,1,2.8141096470623888
12810,20.0,1,-1.492417834091825
12811,23.0,1,3.215911744703699
12812,23.0,1,5.874231492989521
12813,20.0,1,0.004083209673368742
12814,21.0,1,-1.1391983307416957
12815,23.0,1,2.3474751211462
12816,23.0,1,2.2951864589837214
12817,20.0,1,-2.3903699556220785
12818,20.0,1,-1.4992797329506957
12819,23.0,1,1.2552579122168384
12820,20.0,1,-1.4091256128645093
12821,18.0,1,-3.7488507062637977
12822,23.0,1,2.710900642342258
12823,22.0,1,0.7273795407162204
12824,21.0,1,-1.260804513884051
12825,19.0,1,-2.6408832451161417
12826,18.0,1,-6.742931800067351
12827,19.0,1,-3.245337325219209
12828,19.0,1,-3.3668815734751694
12829,21.0,1,0.9223674410913016
12830,21.0,1,-1.2410560913773572
12831,22.0,1,-0.37220792064971653
12832,22.0,1,0.6980852232804673
12833,23.0,1,3.180386326495322
12834,22.0,1,1.8832607884955208
12835,22.0,1,3.319779900133475
12836,18.0,1,-3.232283519004183
12837,21.0,1,-0.147297562618019
12838,18.0,1,-3.65587228934622
12839,22.0,1,0.5798461848787975
12840,22.0,1,3.470781622657501
12841,22.0,1,0.31811083756777564
12842,21.0,1,0.1556085136992666
12843,19.0,1,-2.791144146444743
12844,22.0,1,0.6592829702939693
12845,21.0,1,1.2242274878619652
12846,21.0,1,-0.000906223487008407
12847,21.0,1,1.91908831412775
12848,22.0,1,0.5254146037554269
12849,18.0,1,-4.239407692261082
12850,22.0,1,-0.06076899901217957
12851,23.0,1,-0.06232109875645883
12852,21.0,1,0.5072682352337182
12853,23.0,1,1.1524593168660344
12854,19.0,1,-2.283054713647004
12855,22.0,1,1.7524683645248145
12856,17.0,1,-6.784263278410395
12857,22.0,1,4.088315063878402
12858,21.0,1,-1.6880157391439585
12859,18.0,1,-2.4267895416428704
12860,21.0,1,-0.3602249310970388
12861,22.0,1,1.7469764417129308
12862,23.0,1,3.6306857133677592
12863,21.0,1,-1.263004425952264
12864,17.0,1,-8.564934902657523
12865,19.0,1,-3.689378640111017
12866,23.0,1,5.670941508841887
12867,22.0,1,1.267500441991354
12868,22.0,1,0.6951497430271623
12869,22.0,1,3.763497966304804
12870,22.0,1,-0.5403427747193227
12871,23.0,1,2.4090325479562584
12872,21.0,1,1.3929256868204691
12873,19.0,1,-1.292534894238367
12874,17.0,1,-6.230300348700604
12875,21.0,1,-0.25971223088592954
12876,22.0,1,1.8403574296056622
12877,19.0,1,-3.3582637151084302
12878,20.0,1,-3.192684137966214
12879,22.0,1,-0.02875605937830713
12880,21.0,1,0.4527401086569545
12881,21.0,1,-2.1359369972613367
12882,20.0,1,-0.717194213999705
12883,20.0,1,-1.530228996334668
12884,22.0,1,0.8403589230153197
12885,23.0,1,5.251013674658683
12886,22.0,1,0.5480524036349228
12887,23.0,1,6.546220979535101
12888,21.0,1,-0.14880198703578149
12889,23.0,1,4.958653413457037
12890,23.0,1,5.226403690024199
12891,22.0,1,2.9327138023527386
12892,20.0,1,0.1634920741382346
12893,23.0,1,0.3187227727094914
12894,22.0,1,2.168857785684342
12895,21.0,1,-0.9704031628895335
12896,22.0,1,0.5828856329030625
12897,21.0,1,-0.6498104011780146
12898,17.0,1,-6.944956779108934
12899,20.0,1,-3.4580560042802615
12900,18.0,1,-4.657730690507604
12901,18.0,1,-3.5390831160570952
12902,23.0,1,3.8229217516330807
12903,21.0,1,0.2999642336111392
12904,23.0,1,1.608188144528492
12905,23.0,1,4.075144840991897
12906,20.0,1,-1.5210631718546355
12907,19.0,1,-4.481284243654298
12908,22.0,1,1.9024842701170093
12909,23.0,1,6.167315932675311
12910,22.0,1,2.971774293221067
12911,23.0,1,2.699345858029965
12912,23.0,1,5.291652881290737
12913,23.0,1,3.870430415057423
12914,22.0,1,-0.53829766418651
12915,20.0,1,-0.15950493209444755
12916,23.0,1,3.9172527901799996
12917,21.0,1,-1.1174211485319798
12918,22.0,1,-0.37921336847171094
12919,23.0,1,3.104091709637391
12920,22.0,1,2.6572441992409996
12921,21.0,1,0.849269786245505
12922,22.0,1,0.6674054113420239
12923,22.0,1,2.200719110832568
12924,19.0,1,-4.269853981703231
12925,21.0,1,-0.9130656590439409
12926,23.0,1,5.865893402821059
12927,23.0,1,2.40897703340254
12928,19.0,1,-5.375880735610484
12929,19.0,1,-3.3718279065342505
12930,22.0,1,-0.41331737086000286
12931,22.0,1,0.630062449169393
12932,21.0,1,-0.3999214939619665
12933,20.0,1,-0.921949934682418
12934,22.0,1,1.7584502327880012
12935,20.0,1,-1.5065863552533079
12936,18.0,1,-5.18173847564267
12937,20.0,1,-0.7112606086493092
12938,23.0,1,0.9724318863499893
12939,22.0,1,2.91737710752798
12940,20.0,1,-1.9857338892238103
12941,23.0,1,3.681417732306368
12942,21.0,1,0.895500771653826
12943,22.0,1,2.062372712906351
12944,22.0,1,-1.0219542666341537
12945,22.0,1,3.2394484462519606
12946,22.0,1,2.37349062598427
12947,20.0,1,-0.18760192288112806
12948,18.0,1,-3.9422418050031434
12949,19.0,1,-3.200242139357339
12950,21.0,1,-0.13482286578596098
12951,19.0,1,-3.808990579233657
12952,20.0,1,-1.2510714747444123
12953,20.0,1,-1.7232859819837862
12954,22.0,1,-0.875174780746424
12955,22.0,1,1.2663832683258163
12956,23.0,1,4.668290854332245
12957,23.0,1,4.4899690072041585
12958,22.0,1,0.25558615424649916
12959,21.0,1,0.30698112274605893
12960,20.0,1,-1.8104451083997573
12961,21.0,1,0.4061534616256596
12962,23.0,1,3.2118105375565253
12963,19.0,1,-2.381604570574995
12964,21.0,1,0.6028394095884266
12965,20.0,1,-2.772225381458413
12966,22.0,1,2.6608296761728516
12967,23.0,1,3.9173610188351558
12968,19.0,1,-3.30603493154204
12969,19.0,1,-4.987871218095493
12970,23.0,1,3.510692897725663
12971,20.0,1,-1.1407567931981393
12972,18.0,1,-5.1126423057662755
12973,21.0,1,-0.17259133681707667
12974,23.0,1,4.475146375510496
12975,22.0,1,0.9060703139967009
12976,22.0,1,1.422794398684887
