global_sd,races,brier,log_loss,expected_calibration_error,root_mean_squared_calibration_error,maximum_calibration_error,coverage_50,coverage_error_50,absolute_coverage_error_50,coverage_80,coverage_error_80,absolute_coverage_error_80,coverage_95,coverage_error_95,absolute_coverage_error_95,mean_absolute_coverage_error,maximum_absolute_coverage_error,rank_brier,rank_log_loss,rank_expected_calibration_error,rank_mean_absolute_coverage_error,average_rank,pareto_optimal,recommended
7.5,234,0.07411849476722548,0.29335548814592854,0.031101053725463953,0.05248376366016492,0.2682903411933241,0.47435897435897434,-0.02564102564102566,0.02564102564102566,0.7222222222222222,-0.07777777777777783,0.07777777777777783,0.8760683760683761,-0.07393162393162389,0.07393162393162389,0.05911680911680913,0.07777777777777783,3.0,34.0,2.0,12.0,12.75,False,False
7.75,234,0.07409278640061717,0.28878076421278986,0.029261687449923746,0.04932989307318671,0.2655949492040286,0.48717948717948717,-0.01282051282051283,0.01282051282051283,0.7478632478632479,-0.052136752136752174,0.052136752136752174,0.8846153846153846,-0.06538461538461537,0.06538461538461537,0.04344729344729346,0.06538461538461537,1.0,30.0,1.0,7.0,9.75,True,False
8.0,234,0.07409334447624603,0.28486256994415793,0.03526582656935284,0.06312775658121406,0.27199218022312566,0.5,0.0,0.0,0.7606837606837606,-0.0393162393162394,0.0393162393162394,0.8888888888888888,-0.061111111111111116,0.061111111111111116,0.033475783475783505,0.061111111111111116,2.0,27.0,5.0,6.0,10.0,True,False
8.25,234,0.07411948603394729,0.28152610848645154,0.03514003233235177,0.06333931620147919,0.2650371573104492,0.5128205128205128,0.012820512820512775,0.012820512820512775,0.7777777777777778,-0.022222222222222254,0.022222222222222254,0.8931623931623932,-0.05683760683760675,0.05683760683760675,0.030626780626780592,0.05683760683760675,4.0,24.0,4.0,4.0,9.0,True,False
8.5,234,0.07417055133672752,0.2787068995368554,0.03681679447439908,0.06497472797592767,0.27107546442995034,0.5213675213675214,0.021367521367521403,0.021367521367521403,0.7863247863247863,-0.013675213675213738,0.013675213675213738,0.8974358974358975,-0.05256410256410249,0.05256410256410249,0.02920227920227921,0.05256410256410249,5.0,21.0,6.0,3.0,8.75,True,False
8.75,234,0.07424589309686787,0.2763490699141963,0.037744018237365756,0.06856454984481691,0.2489241636458978,0.5256410256410257,0.02564102564102566,0.02564102564102566,0.7991452991452992,-0.0008547008547008517,0.0008547008547008517,0.905982905982906,-0.04401709401709397,0.04401709401709397,0.023504273504273494,0.04401709401709397,7.0,18.0,7.0,1.0,8.25,True,True
9.0,234,0.07434486857979343,0.27440397225581015,0.03822984965773595,0.07054194507106969,0.23062623428105106,0.5341880341880342,0.03418803418803418,0.03418803418803418,0.7991452991452992,-0.0008547008547008517,0.0008547008547008517,0.9145299145299145,-0.035470085470085455,0.035470085470085455,0.023504273504273494,0.035470085470085455,9.0,15.0,9.0,1.0,8.5,True,False
9.25,234,0.07446683410769181,0.2728290611363779,0.03895153649474297,0.06920834292362998,0.23668848002630177,0.5470085470085471,0.047008547008547064,0.047008547008547064,0.8162393162393162,0.01623931623931618,0.01623931623931618,0.9145299145299145,-0.035470085470085455,0.035470085470085455,0.0329059829059829,0.047008547008547064,11.0,13.0,11.0,5.0,10.0,True,False
9.5,234,0.07461114152660402,0.2715869725337638,0.040573141543094195,0.07127625152442424,0.24251448486436566,0.5726495726495726,0.07264957264957261,0.07264957264957261,0.8290598290598291,0.029059829059829068,0.029059829059829068,0.9188034188034188,-0.031196581196581197,0.031196581196581197,0.044301994301994295,0.07264957264957261,13.0,10.0,12.0,8.0,10.75,True,False
9.75,234,0.07477713625130324,0.27064476501380214,0.03793292978969804,0.06409227749584322,0.24811530295928988,0.5769230769230769,0.07692307692307687,0.07692307692307687,0.8333333333333334,0.033333333333333326,0.033333333333333326,0.9230769230769231,-0.026923076923076827,0.026923076923076827,0.045726495726495675,0.07692307692307687,15.0,8.0,8.0,9.0,10.0,True,False
10.0,234,0.07496415655420646,0.26997329038773826,0.043087646237741764,0.08167373685835817,0.35387039551156246,0.5897435897435898,0.08974358974358976,0.08974358974358976,0.8376068376068376,0.037606837606837584,0.037606837606837584,0.9273504273504274,-0.02264957264957257,0.02264957264957257,0.04999999999999997,0.08974358974358976,17.0,6.0,13.0,10.0,11.5,True,False
10.25,234,0.07517153381367847,0.2695466687110384,0.055591968204276344,0.09336673502640969,0.35726663351334914,0.594017094017094,0.09401709401709402,0.09401709401709402,0.8418803418803419,0.04188034188034184,0.04188034188034184,0.9273504273504274,-0.02264957264957257,0.02264957264957257,0.05284900284900281,0.09401709401709402,19.0,4.0,20.0,11.0,13.5,True,False
10.5,234,0.07539859348148667,0.26934184791583404,0.05952487106591042,0.10114729922484522,0.36051237637586636,0.6111111111111112,0.11111111111111116,0.11111111111111116,0.8504273504273504,0.05042735042735036,0.05042735042735036,0.9273504273504274,-0.02264957264957257,0.02264957264957257,0.06139601139601136,0.11111111111111116,21.0,2.0,28.0,13.0,16.0,True,False
10.75,234,0.07564465656831805,0.2693382325270732,0.06266518928500685,0.09880145519389931,0.3636171510568682,0.6153846153846154,0.11538461538461542,0.11538461538461542,0.8547008547008547,0.05470085470085462,0.05470085470085462,0.9358974358974359,-0.014102564102564052,0.014102564102564052,0.06139601139601136,0.11538461538461542,22.0,1.0,34.0,13.0,17.5,True,False
11.0,234,0.07590904148037228,0.26951736911505103,0.059850671797350624,0.09382460643751525,0.36658972076623125,0.6239316239316239,0.12393162393162394,0.12393162393162394,0.8589743589743589,0.058974358974358876,0.058974358974358876,0.9358974358974359,-0.014102564102564052,0.014102564102564052,0.06566951566951562,0.12393162393162394,24.0,3.0,29.0,15.0,17.75,False,False
11.25,234,0.07619106606961637,0.2698626786173139,0.0527820112285493,0.09123854732294596,0.3694381572641389,0.6324786324786325,0.13247863247863245,0.13247863247863245,0.8717948717948718,0.07179487179487176,0.07179487179487176,0.9401709401709402,-0.009829059829059794,0.009829059829059794,0.07136752136752134,0.13247863247863245,26.0,5.0,16.0,16.0,15.75,True,False
11.5,234,0.07649004978591895,0.2703592275942855,0.05683988243724095,0.0913019631002401,0.3556844719620915,0.6410256410256411,0.14102564102564108,0.14102564102564108,0.8760683760683761,0.07606837606837602,0.07606837606837602,0.9487179487179487,-0.0012820512820512775,0.0012820512820512775,0.07279202279202279,0.14102564102564108,27.0,7.0,24.0,18.0,19.0,False,False
11.75,234,0.0768053158415204,0.2709935319954414,0.05667500777630147,0.09011128508876141,0.3586060554747062,0.6495726495726496,0.1495726495726496,0.1495726495726496,0.8803418803418803,0.08034188034188028,0.08034188034188028,0.9529914529914529,0.002991452991452981,0.002991452991452981,0.07763532763532761,0.1495726495726496,28.0,9.0,22.0,19.0,19.5,False,False
12.0,234,0.07713619331759101,0.27175338820463973,0.05389839697279307,0.08908715947623658,0.3614146284612458,0.6538461538461539,0.15384615384615385,0.15384615384615385,0.8846153846153846,0.08461538461538454,0.08461538461538454,0.9529914529914529,0.002991452991452981,0.002991452991452981,0.08048433048433046,0.15384615384615385,29.0,11.0,17.0,20.0,19.25,False,False
12.25,234,0.07748201915933589,0.27262772707817684,0.05403042337046374,0.08806326875468555,0.36411644751474154,0.6581196581196581,0.1581196581196581,0.1581196581196581,0.8931623931623932,0.09316239316239316,0.09316239316239316,0.9529914529914529,0.002991452991452981,0.002991452991452981,0.08475783475783476,0.1581196581196581,30.0,12.0,18.0,21.0,20.25,False,False
