global_sd,races,brier,log_loss,expected_calibration_error,root_mean_squared_calibration_error,maximum_calibration_error,coverage_50,coverage_error_50,absolute_coverage_error_50,coverage_80,coverage_error_80,absolute_coverage_error_80,coverage_95,coverage_error_95,absolute_coverage_error_95,mean_absolute_coverage_error,maximum_absolute_coverage_error,cycle
5.75,33,0.10153880723056084,1.0417748944129857,0.09610805304748757,0.12655663827359837,0.3136525862643358,0.30303030303030304,-0.19696969696969696,0.19696969696969696,0.6363636363636364,-0.1636363636363637,0.1636363636363637,0.8181818181818182,-0.13181818181818172,0.13181818181818172,0.16414141414141412,0.19696969696969696,2018
5.75,33,0.05897403054619938,0.19465423504117327,0.07917068850697341,0.1345021853883527,0.5551653105111446,0.45454545454545453,-0.04545454545454547,0.04545454545454547,0.8181818181818182,0.018181818181818188,0.018181818181818188,0.9090909090909091,-0.040909090909090895,0.040909090909090895,0.03484848484848485,0.04545454545454547,2020
5.75,34,0.042033678992344455,0.1293469819712565,0.06967187755956522,0.14553648157390522,0.44963291150398066,0.47058823529411764,-0.02941176470588236,0.02941176470588236,0.7058823529411765,-0.09411764705882353,0.09411764705882353,0.8235294117647058,-0.1264705882352941,0.1264705882352941,0.08333333333333333,0.1264705882352941,2022
5.75,34,0.03331131832890996,0.10986402071546053,0.05203472632168454,0.10598065206730234,0.34040052796841835,0.5,0.0,0.0,0.7058823529411765,-0.09411764705882353,0.09411764705882353,0.8529411764705882,-0.09705882352941175,0.09705882352941175,0.06372549019607843,0.09705882352941175,2024
6.0,32,0.1221911030091368,0.456400859767082,0.1565192219128063,0.21599194803118846,0.6626846174165644,0.25,-0.25,0.25,0.4375,-0.36250000000000004,0.36250000000000004,0.6875,-0.26249999999999996,0.26249999999999996,0.2916666666666667,0.36250000000000004,2012
6.0,35,0.06731013493637264,0.2464028182265683,0.08013154859427186,0.14572448049175904,0.38865660126053053,0.37142857142857144,-0.12857142857142856,0.12857142857142856,0.5714285714285714,-0.22857142857142865,0.22857142857142865,0.8,-0.1499999999999999,0.1499999999999999,0.16904761904761903,0.22857142857142865,2014
6.0,33,0.1020306094443334,0.2904740594070231,0.1282549209601741,0.21933705176263435,0.7239731719828292,0.18181818181818182,-0.3181818181818182,0.3181818181818182,0.5151515151515151,-0.2848484848484849,0.2848484848484849,0.7272727272727273,-0.22272727272727266,0.22272727272727266,0.27525252525252525,0.3181818181818182,2016
6.0,33,0.1014544392620991,0.97815199339902,0.09512824492252654,0.1251430238195645,0.3208607573828821,0.3333333333333333,-0.16666666666666669,0.16666666666666669,0.6666666666666666,-0.13333333333333341,0.13333333333333341,0.8181818181818182,-0.13181818181818172,0.13181818181818172,0.14393939393939395,0.16666666666666669,2018
6.0,33,0.058925511311810154,0.19298340525338303,0.07969359500377567,0.13498791956920653,0.5528805593838002,0.48484848484848486,-0.015151515151515138,0.015151515151515138,0.8181818181818182,0.018181818181818188,0.018181818181818188,0.9090909090909091,-0.040909090909090895,0.040909090909090895,0.02474747474747474,0.040909090909090895,2020
6.0,34,0.042414758799958464,0.13116413364127782,0.07120621919029776,0.14685585237077528,0.45169721495703563,0.5,0.0,0.0,0.7647058823529411,-0.03529411764705892,0.03529411764705892,0.8529411764705882,-0.09705882352941175,0.09705882352941175,0.04411764705882356,0.09705882352941175,2022
6.0,34,0.0338806632109637,0.11219663558089762,0.05416822514364426,0.10850179824610028,0.34669916827206504,0.5,0.0,0.0,0.7058823529411765,-0.09411764705882353,0.09411764705882353,0.8529411764705882,-0.09705882352941175,0.09705882352941175,0.06372549019607843,0.09705882352941175,2024
6.25,32,0.1215154013590519,0.4411303622985634,0.15539480375568915,0.21525264418283319,0.6565292168977487,0.25,-0.25,0.25,0.46875,-0.33125000000000004,0.33125000000000004,0.6875,-0.26249999999999996,0.26249999999999996,0.28125,0.33125000000000004,2012
6.25,35,0.0670821508572225,0.24088379876365923,0.07978695967936442,0.14458554148547972,0.38822031029026416,0.37142857142857144,-0.12857142857142856,0.12857142857142856,0.5714285714285714,-0.22857142857142865,0.22857142857142865,0.8,-0.1499999999999999,0.1499999999999999,0.16904761904761903,0.22857142857142865,2014
6.25,33,0.10057300837813582,0.28578467495846266,0.12742080489485033,0.21645320164813223,0.7159656629400031,0.18181818181818182,-0.3181818181818182,0.3181818181818182,0.5454545454545454,-0.25454545454545463,0.25454545454545463,0.7575757575757576,-0.1924242424242424,0.1924242424242424,0.255050505050505,0.3181818181818182,2016
6.25,33,0.10141365473972738,0.9222110241663785,0.11380721425626875,0.17007282267946758,0.6234137988377988,0.3939393939393939,-0.10606060606060608,0.10606060606060608,0.696969696969697,-0.10303030303030303,0.10303030303030303,0.8484848484848485,-0.10151515151515145,0.10151515151515145,0.10353535353535352,0.10606060606060608,2018
6.25,33,0.05890584964481722,0.1918330838272716,0.08020192834077411,0.1356199002596009,0.5507770353952349,0.6060606060606061,0.10606060606060608,0.10606060606060608,0.8181818181818182,0.018181818181818188,0.018181818181818188,0.9090909090909091,-0.040909090909090895,0.040909090909090895,0.05505050505050505,0.10606060606060608,2020
6.25,34,0.04280254907355392,0.13302305103333265,0.07277865089444543,0.1481451736061862,0.453600211034483,0.5,0.0,0.0,0.7647058823529411,-0.03529411764705892,0.03529411764705892,0.8823529411764706,-0.0676470588235294,0.0676470588235294,0.0343137254901961,0.0676470588235294,2022
6.25,34,0.03445187911984014,0.11454143206906478,0.056296710686768434,0.11276960605810252,0.3525323731676574,0.5294117647058824,0.02941176470588236,0.02941176470588236,0.7058823529411765,-0.09411764705882353,0.09411764705882353,0.9117647058823529,-0.038235294117647034,0.038235294117647034,0.053921568627450976,0.09411764705882353,2024
6.5,32,0.1208275915813137,0.42774644406120843,0.15411491281666598,0.21449213091699046,0.6508101783083536,0.3125,-0.1875,0.1875,0.5,-0.30000000000000004,0.30000000000000004,0.6875,-0.26249999999999996,0.26249999999999996,0.25,0.30000000000000004,2012
6.5,35,0.06688829941351714,0.23624391758431115,0.08668577380796028,0.1474836324862901,0.39241162547872,0.4,-0.09999999999999998,0.09999999999999998,0.5714285714285714,-0.22857142857142865,0.22857142857142865,0.8285714285714286,-0.12142857142857133,0.12142857142857133,0.15,0.22857142857142865,2014
