formula,formula_label,cycle,races,mae,rmse,mean_error_dem,brier,winner_accuracy
generic_0_85,0.85 × generic ballot,2024,34,5.501696683301483,7.399490360333909,2.72360984545106,0.042967953108523506,0.9705882352941176
generic_0_90,0.90 × generic ballot,2012,32,10.233851287834128,13.348819455708954,-1.4201586774533534,0.11219350450821844,0.84375
generic_0_90,0.90 × generic ballot,2014,35,8.001189970943946,11.787416259715778,1.438725249126256,0.06687539548572521,0.9142857142857143
generic_0_90,0.90 × generic ballot,2016,33,10.997182044777825,15.627717281489511,6.923650110851862,0.09126773710654304,0.8484848484848485
generic_0_90,0.90 × generic ballot,2018,33,7.580532302515579,11.13358497782759,-3.8580918645652833,0.10330295114068525,0.8787878787878788
generic_0_90,0.90 × generic ballot,2020,33,5.877790052014099,9.438402405505926,3.1860150278252233,0.06200255036650968,0.9090909090909091
generic_0_90,0.90 × generic ballot,2022,34,6.365000535565088,9.254462558131605,2.105650964218605,0.04935863659613631,0.9411764705882353
generic_0_90,0.90 × generic ballot,2024,34,5.4946378597720695,7.393982303015805,2.70860984545106,0.042999437697713694,0.9705882352941176
generic_1_00,1.00 × generic ballot,2012,32,10.236351287834129,13.35096203306009,-1.4401586774533537,0.11234373557900765,0.84375
generic_1_00,1.00 × generic ballot,2014,35,7.98061854237252,11.76053544530313,1.1987252491262566,0.06652976361172376,0.9142857142857143
generic_1_00,1.00 × generic ballot,2016,33,11.028091135686918,15.654391889928785,6.9836501108518645,0.0917577213813864,0.8484848484848485
generic_1_00,1.00 × generic ballot,2018,33,7.354304108891034,10.902146593045009,-3.1280918645652847,0.10148689575309312,0.8787878787878788
generic_1_00,1.00 × generic ballot,2020,33,6.166830083042412,9.689108339063113,3.8660150278252217,0.06469942302064552,0.9090909090909091
generic_1_00,1.00 × generic ballot,2022,34,6.336765241447442,9.227899057122771,1.985650964218604,0.04961414152443759,0.9117647058823529
generic_1_00,1.00 × generic ballot,2024,34,5.480520212713247,7.383045286775902,2.67860984545106,0.04306315685239329,0.9705882352941176
generic_1_190420_reference,1.190420 × generic ballot (full-sample reference),2012,32,10.241111787834129,13.355123795959821,-1.4782426774533541,0.11263056431705862,0.84375
generic_1_190420_reference,1.190420 × generic ballot (full-sample reference),2014,35,7.966851544457919,11.722772548121453,0.7417172491262551,0.06600264247185172,0.9142857142857143
generic_1_190420_reference,1.190420 × generic ballot (full-sample reference),2016,33,11.086948226596006,15.705694220501755,7.097902110851863,0.09269835568770457,0.8484848484848485
generic_1_190420_reference,1.190420 × generic ballot (full-sample reference),2018,33,7.245301315983253,10.587378123453478,-1.738025864565283,0.09932550905273667,0.9090909090909091
generic_1_190420_reference,1.190420 × generic ballot (full-sample reference),2020,33,6.820904302278023,10.27459673060591,5.160871027825222,0.07107437657275627,0.9090909090909091
generic_1_190420_reference,1.190420 × generic ballot (full-sample reference),2022,34,6.296100678287608,9.18144197338347,1.7571469642186044,0.0501436183585607,0.9117647058823529
generic_1_190420_reference,1.190420 × generic ballot (full-sample reference),2024,34,5.453637389183835,7.362512108947419,2.621483845451059,0.04318725446530765,0.9411764705882353
generic_loco_calibrated,Generic ballot with LOCO-calibrated slope,2012,32,10.236046896740246,13.350699576968278,-1.437723548702301,0.11232542929663722,0.84375
generic_loco_calibrated,Generic ballot with LOCO-calibrated slope,2014,35,7.990022966605924,11.772224777559115,1.3084435318493093,0.06668196732171977,0.9142857142857143
generic_loco_calibrated,Generic ballot with LOCO-calibrated slope,2016,33,11.035587082381559,15.660888695589204,6.998201066200284,0.09187696654301222,0.8484848484848485
generic_loco_calibrated,Generic ballot with LOCO-calibrated slope,2018,33,8.997471699470829,12.254066123786286,-6.4101712101193735,0.11374033101611107,0.8787878787878788
generic_loco_calibrated,Generic ballot with LOCO-calibrated slope,2020,33,7.722610524367645,11.069222066419588,6.602645601952176,0.07992754346944442,0.8787878787878788
generic_loco_calibrated,Generic ballot with LOCO-calibrated slope,2022,34,6.347524257212377,9.237846225393831,2.0313767812195787,0.04951493863009292,0.9411764705882353
generic_loco_calibrated,Generic ballot with LOCO-calibrated slope,2024,34,5.483693799641697,7.385494674797495,2.6853537176740163,0.043048745945419034,0.9705882352941176
generic_plus_midterm_loco_calibrated,Generic ballot + midterm with LOCO-calibrated slopes,2012,32,10.227353402016664,13.343389173652236,-1.368175590913636,0.11180431695536258,0.84375
generic_plus_midterm_loco_calibrated,Generic ballot + midterm with LOCO-calibrated slopes,2014,35,8.251685489114776,11.881957489500124,-2.075490796161146,0.06681359473696842,0.8857142857142857
generic_plus_midterm_loco_calibrated,Generic ballot + midterm with LOCO-calibrated slopes,2016,33,10.939984699881977,15.573952710860429,6.80142532616877,0.09027821517906615,0.8484848484848485
generic_plus_midterm_loco_calibrated,Generic ballot + midterm with LOCO-calibrated slopes,2018,33,8.220095490041146,11.604971149469979,-5.059991477952033,0.10739590800946124,0.8787878787878788
