snapshot_id,race_key,cycle,state,race_id,election_date,snapshot_date,days_before_election,source_candidate_rows,source_questions,candidate_questions,eligible_questions,excluded_questions,has_eligible_polling,earliest_eligible_end_date,latest_eligible_end_date,mean_dem_margin_unweighted,median_dem_margin_unweighted,mean_poll_age_days,median_poll_age_days,internal_questions,partisan_questions,tracking_questions,baseline_poll_margin_dem,baseline_poll_margin_dem_unweighted,baseline_poll_margin_median,baseline_poll_margin_weighted_sd,baseline_poll_question_count,baseline_poll_count,baseline_pollster_count,baseline_effective_question_count,baseline_total_raw_weight,baseline_mean_poll_age_days,baseline_oldest_poll_age_days,baseline_newest_poll_age_days,baseline_mean_sample_size,baseline_imputed_sample_count,baseline_has_polling
2018_IN_102_20181106_D014,2018_IN_102_20181106,2018,IN,102,2018-11-06,2018-10-23,14,101,42,42,25,17,True,2018-05-15,2018-10-20,0.2520000000000001,0.0,55.76,42.0,3,0,0,0.42259587524391873,0.2520000000000001,0.0,4.587804387339548,25.0,14.0,10.0,11.457254094120636,6.905766073629914,15.841737577663382,161.0,3.0,803.3692152956738,0.0,True
2018_IN_102_20181106_D007,2018_IN_102_20181106,2018,IN,102,2018-11-06,2018-10-30,7,101,42,42,34,8,True,2018-05-15,2018-10-30,0.6147058823529413,1.0,46.588235294117645,28.0,3,0,1,1.237269449885166,0.6147058823529413,1.0,3.6994856158475167,34.0,19.0,13.0,16.564981897761935,14.27443234064087,8.796947829057615,168.0,0.0,825.1079749177198,0.0,True
2018_IN_102_20181106_D000,2018_IN_102_20181106,2018,IN,102,2018-11-06,2018-11-06,0,101,42,42,42,0,True,2018-05-15,2018-11-05,0.4571428571428572,0.1000000000000014,44.142857142857146,21.5,3,0,9,0.6146376366403732,0.4571428571428572,0.1000000000000014,3.159383737258106,42.0,27.0,13.0,23.22269619276388,17.484481086607943,10.821689592608461,175.0,1.0,836.446137352213,0.0,True
2018_MA_105_20181106_D120,2018_MA_105_20181106,2018,MA,105,2018-11-06,2018-07-09,120,36,13,13,5,8,True,2017-06-22,2018-06-12,29.880000000000003,31.0,161.0,113.0,0,0,0,26.28404499320074,29.880000000000003,31.0,5.818293522550977,5.0,5.0,2.0,1.7616738569410757,0.34666955007584255,32.92251415428753,382.0,27.0,500.3377947777309,0.0,True
2018_MA_105_20181106_D090,2018_MA_105_20181106,2018,MA,105,2018-11-06,2018-08-08,90,36,13,13,5,8,True,2017-06-22,2018-06-12,29.880000000000003,31.0,191.0,143.0,0,0,0,26.284044993200744,29.880000000000003,31.0,5.818293522550977,5.0,5.0,2.0,1.7616738569410755,0.078496703795853,62.92251415428752,412.0,57.0,500.33779477773095,0.0,True
2018_MA_105_20181106_D060,2018_MA_105_20181106,2018,MA,105,2018-11-06,2018-09-07,60,36,13,13,5,8,True,2017-06-22,2018-06-12,29.880000000000003,31.0,221.0,173.0,0,0,0,26.284044993200744,29.880000000000003,31.0,5.818293522550977,5.0,5.0,2.0,1.7616738569410753,0.017774080548654626,92.92251415428754,442.0,87.0,500.33779477773095,0.0,True
2018_MA_105_20181106_D030,2018_MA_105_20181106,2018,MA,105,2018-11-06,2018-10-07,30,36,13,13,9,4,True,2017-06-22,2018-10-07,28.64444444444445,28.0,143.44444444444446,117.0,0,0,0,26.90920174650552,28.644444444444446,28.0,1.6049820651559288,9.0,8.0,3.0,3.261472563891929,2.8062928530682743,4.964327914789569,472.0,0.0,615.1458337520091,0.0,True
2018_MA_105_20181106_D014,2018_MA_105_20181106,2018,MA,105,2018-11-06,2018-10-23,14,36,13,13,9,4,True,2017-06-22,2018-10-07,28.64444444444445,28.0,159.44444444444446,133.0,0,0,0,26.90920174650552,28.644444444444446,28.0,1.6049820651559288,9.0,8.0,3.0,3.261472563891931,1.2708629229393056,20.964327914789568,488.0,16.0,615.1458337520089,0.0,True
2018_MA_105_20181106_D007,2018_MA_105_20181106,2018,MA,105,2018-11-06,2018-10-30,7,36,13,13,13,0,True,2017-06-22,2018-10-28,27.53846153846154,27.0,116.0,39.0,0,0,0,25.289049234554426,27.53846153846154,27.0,3.354101445658761,13.0,11.0,4.0,5.992978837818404,4.034437531328421,8.150301330021508,495.0,2.0,506.03851906220905,0.0,True
2018_MA_105_20181106_D000,2018_MA_105_20181106,2018,MA,105,2018-11-06,2018-11-06,0,36,13,13,13,0,True,2017-06-22,2018-10-28,27.53846153846154,27.0,123.0,46.0,0,0,0,25.289049234554444,27.53846153846154,27.0,3.3541014456587614,13.0,11.0,4.0,5.992978837818396,2.852778136675839,15.150301330021515,502.0,9.0,506.03851906220933,0.0,True
2018_MD_104_20181106_D120,2018_MD_104_20181106,2018,MD,104,2018-11-06,2018-07-09,120,7,2,2,0,2,False,,,,,,,0,0,0,,,,,0.0,0.0,,0.0,0.0,,,,,0.0,False
2018_MD_104_20181106_D090,2018_MD_104_20181106,2018,MD,104,2018-11-06,2018-08-08,90,7,2,2,0,2,False,,,,,,,0,0,0,,,,,0.0,0.0,,0.0,0.0,,,,,0.0,False
2018_MD_104_20181106_D060,2018_MD_104_20181106,2018,MD,104,2018-11-06,2018-09-07,60,7,2,2,0,2,False,,,,,,,0,0,0,,,,,0.0,0.0,,0.0,0.0,,,,,0.0,False
2018_MD_104_20181106_D030,2018_MD_104_20181106,2018,MD,104,2018-11-06,2018-10-07,30,7,2,2,2,0,True,2018-09-16,2018-10-06,33.45,33.45,11.0,11.0,1,0,0,30.357088033924633,33.45,33.45,4.608296384794255,2.0,2.0,2.0,1.5260621681135613,1.4166176305259413,5.427185646711047,21.0,1.0,732.0659996999256,0.0,True
2018_MD_104_20181106_D014,2018_MD_104_20181106,2018,MD,104,2018-11-06,2018-10-23,14,7,2,2,2,0,True,2018-09-16,2018-10-06,33.45,33.45,27.0,27.0,1,0,0,30.357088033924626,33.45,33.45,4.608296384794255,2.0,2.0,2.0,1.5260621681135613,0.6415320555904043,21.427185646711045,37.0,17.0,732.0659996999256,0.0,True
2018_MD_104_20181106_D007,2018_MD_104_20181106,2018,MD,104,2018-11-06,2018-10-30,7,7,2,2,2,0,True,2018-09-16,2018-10-06,33.45,33.45,34.0,34.0,1,0,0,30.357088033924633,33.45,33.45,4.608296384794255,2.0,2.0,2.0,1.5260621681135607,0.45363166685652,28.427185646711045,44.0,24.0,732.0659996999256,0.0,True
2018_MD_104_20181106_D000,2018_MD_104_20181106,2018,MD,104,2018-11-06,2018-11-06,0,7,2,2,2,0,True,2018-09-16,2018-10-06,33.45,33.45,41.0,41.0,1,0,0,30.357088033924626,33.45,33.45,4.608296384794255,2.0,2.0,2.0,1.5260621681135615,0.32076602779520214,35.427185646711045,51.0,31.0,732.0659996999254,0.0,True
2018_ME_103_20181106_D120,2018_ME_103_20181106,2018,ME,103,2018-11-06,2018-07-09,120,17,6,6,0,6,False,,,,,,,0,0,0,,,,,0.0,0.0,,0.0,0.0,,,,,0.0,False
2018_ME_103_20181106_D090,2018_ME_103_20181106,2018,ME,103,2018-11-06,2018-08-08,90,17,6,6,0,6,False,,,,,,,0,0,0,,,,,0.0,0.0,,0.0,0.0,,,,,0.0,False
