snapshot_id,cycle,state,race_id,snapshot_date,days_out,actual_margin_dem,fundamentals_margin_dem,polling_margin_dem,has_polling,poll_count,pollster_count,effective_poll_count,mean_poll_age_days,production_polling_weight,production_bayesian_margin_dem,production_posterior_sd,margin_movement_dem
2022_FL_8924_20221108_D030,2022,FL,2022_FL,2022-10-09,30,-16.587594994456367,-4.469509324283111,-3.855732114254167,True,39.0,22.0,12.197953914451068,24.59083660457446,0.5,-4.162620719268639,3.5,0.3068886050144721
2022_GA_8925_20221108_D030,2022,GA,2022_GA,2022-10-09,30,0.9774140180497994,-0.841340674182705,4.331228589441867,True,40.0,27.0,12.292220223701651,16.398218677053,0.5,1.744943957629581,3.5,2.586284631812286
2022_IA_8930_20221108_D030,2022,IA,2022_IA,2022-10-09,30,-12.196840548191474,-9.44652616927411,-9.480832972596309,True,8.0,4.0,3.644304424438028,10.46967957389045,0.5,-9.46367957093521,3.5,-0.017153401661099466
2022_IL_8928_20221108_D030,2022,IL,2022_IL,2022-10-09,30,15.584397861044309,16.238087465613845,19.232440024481853,True,3.0,3.0,1.475889716435508,22.37296852002686,0.375,17.36096967518935,3.5,1.1228822095755042
2022_IN_8929_20221108_D030,2022,IN,2022_IN,2022-10-09,30,-21.495551038239668,-17.470096014885925,-2.2545992718670416,True,2.0,2.0,1.6117515130537363,21.401775971612377,0.275,-13.285834410555733,3.5,4.184261604330192
2022_KS_8931_20221108_D030,2022,KS,2022_KS,2022-10-09,30,-23.66328612885694,-16.0668565112627,-14.67580469277724,True,3.0,3.0,1.984066437038183,27.512287293282043,0.375,-15.545212079330652,3.5,0.5216444319320477
2022_KY_8932_20221108_D030,2022,KY,2022_KY,2022-10-09,30,-23.619806488332387,-27.480205800525937,-16.0,True,1.0,1.0,1.0,260.0,0.15,-25.758174930447044,3.5,1.7220308700788927
2022_LA_8933_20221108_D030,2022,LA,2022_LA,2022-10-09,30,-55.0418251781291,-20.008880912582107,,False,0.0,,0.0,,0.0,-20.008880912582107,3.5,0.0
2022_MD_8935_20221108_D030,2022,MD,2022_MD,2022-10-09,30,31.743055937654752,32.97809409418468,23.0,True,1.0,1.0,1.0,27.0,0.15,31.481379980056975,3.5,-1.4967141141277018
2022_MO_8936_20221108_D030,2022,MO,2022_MO,2022-10-09,30,-13.652645873736844,-16.751641288802887,-11.228105998860018,True,6.0,4.0,2.473566140780622,20.579693119231152,0.5,-13.989873643831451,3.5,2.7617676449714352
2022_NC_8940_20221108_D030,2022,NC,2022_NC,2022-10-09,30,-3.299253218639862,-2.448365066373442,-0.7291726870396391,True,24.0,13.0,8.569009415090637,16.442646719412465,0.5,-1.5887688767065409,3.5,0.8595961896669013
2022_NH_8938_20221108_D030,2022,NH,2022_NH,2022-10-09,30,9.349948447759571,6.416695443190077,7.100383844566616,True,18.0,10.0,7.205857235824577,11.95291884107509,0.5,6.758539643878347,3.5,0.3418442006882696
2022_NV_8937_20221108_D030,2022,NV,2022_NV,2022-10-09,30,0.801857785545522,1.3662346800876135,0.1634235679683818,True,26.0,17.0,10.097961436873277,13.877151798072834,0.5,0.7648291240279976,3.5,-0.6014055560596159
2022_NY_8939_20221108_D030,2022,NY,2022_NY,2022-10-09,30,14.075069326686034,22.353669786024497,20.193497117472315,True,6.0,4.0,2.4738477208003777,13.049729587918034,0.5,21.273583451748408,3.5,-1.0800863342760891
2022_OH_8942_20221108_D030,2022,OH,2022_OH,2022-10-09,30,-6.114454849606801,-9.233395295405431,2.6887813385130457,True,25.0,16.0,11.888333051404189,17.496434762722668,0.5,-3.272306978446193,3.5,5.961088316959239
2022_OK_8943_20221108_D030,2022,OK,2022_OK_REGULAR,2022-10-09,30,-33.40665086133072,-34.96007899381302,-18.37387804650213,True,5.0,4.0,4.011056056959601,16.841741486526637,0.5,-26.666978520157578,3.5,8.293100473655443
2022_OK_9482_20221108_D030,2022,OK,2022_OK_SPECIAL,2022-10-09,30,-27.35172468172955,-34.96007899381302,-12.562227373624648,True,5.0,4.0,4.011056056959601,16.841741486526637,0.5,-23.761153183718832,3.5,11.198925810094188
2022_OR_8944_20221108_D030,2022,OR,2022_OR,2022-10-09,30,15.408528397166307,15.534313970883458,19.5,True,1.0,1.0,1.0,8.0,0.15,16.129166875250938,3.5,0.59485290436748
2022_PA_8945_20221108_D030,2022,PA,2022_PA,2022-10-09,30,5.035095542957677,0.098410518698115,8.85263586791207,True,26.0,21.0,15.174735309037308,21.422850266880783,0.5,4.475523193305093,3.5,4.377112674606978
2022_SC_8946_20221108_D030,2022,SC,2022_SC,2022-10-09,30,-25.896486784856165,-12.933217499164188,-17.0,True,1.0,1.0,1.0,32.0,0.15,-13.54323487428956,3.5,-0.6100173751253717
2022_SD_8947_20221108_D030,2022,SD,2022_SD,2022-10-09,30,-45.39410721732374,-27.949559723362995,-13.003613884315223,True,2.0,2.0,1.0003285889053477,28.02891107452179,0.275,-23.839424617624857,3.5,4.110135105738138
2022_UT_8948_20221108_D030,2022,UT,2022_UT,2022-10-09,30,-10.854978816433643,-22.467210243703263,,False,0.0,,0.0,,0.0,-22.467210243703263,3.5,0.0
