cycle,days_out,observations,polling_coverage,fundamentals_brier,production_brier,brier_improvement,fundamentals_log_loss,production_log_loss,log_loss_improvement,fundamentals_margin_mae,production_margin_mae,fundamentals_margin_rmse,production_margin_rmse,fundamentals_winner_accuracy,production_winner_accuracy,mean_polling_weight_polled,median_polling_weight_polled,max_polling_weight,mean_abs_probability_movement,median_abs_probability_movement,max_abs_probability_movement,races_moved_ge_5pp,races_moved_ge_10pp,winner_call_changes
2020,14,32.0,0.78125,0.06284409808713182,0.07198790852265194,-0.009143810435520122,0.23738174440163934,0.26829380555231863,-0.030912061150679293,5.735269697455067,6.30870957912597,9.405438021656549,9.609250644753514,0.90625,0.90625,0.515188691322327,0.6066666666666667,0.6066666666666667,0.04418217230197523,0.007580846904666094,0.3635813422837929,7.0,4.0,0.0
2020,7,32.0,0.84375,0.06284409808713182,0.07099127709219849,-0.008147179005066674,0.23738174440163934,0.2625213234798307,-0.025139579078191365,5.735269697455067,6.370179361085624,9.405438021656549,9.565518543288032,0.90625,0.90625,0.5408148148148147,0.6533333333333333,0.6533333333333333,0.03820067617515749,0.003359760816925461,0.35354668155053826,6.0,3.0,0.0
2020,0,32.0,0.9375,0.06284409808713182,0.07163293310316188,-0.008788835016030061,0.23738174440163934,0.2644093355726006,-0.027027591170961263,5.735269697455067,6.646777667593306,9.405438021656549,9.674168932606193,0.90625,0.90625,0.5588333333333334,0.7,0.7,0.035521289215578906,0.0027137451108195654,0.34416471517153324,7.0,3.0,0.0
2022,120,31.0,0.4838709677419355,0.04550525684123498,0.038258063395328716,0.007247193445906262,0.1413346929979313,0.12770643770533002,0.013628255292601282,6.224386394336886,6.02290635579504,9.13848352751264,9.017553415169546,0.9354838709677419,0.967741935483871,0.1326,0.135,0.18,0.024748284418304272,0.007056850192090139,0.10948156766137718,3.0,1.0,1.0
2022,90,31.0,0.5806451612903226,0.04550525684123498,0.03198276642257086,0.013522490418664115,0.1413346929979313,0.1164051257612823,0.024929567236649006,6.224386394336886,5.93234521590763,9.13848352751264,8.995678846554537,0.9354838709677419,1.0,0.20022222222222222,0.265,0.265,0.05521985020282658,0.008427750547004356,0.2600652991397475,6.0,3.0,2.0
2022,60,31.0,0.7419354838709677,0.04405694352906026,0.031199544003562014,0.012857399525498248,0.13360819157843581,0.10883414520287989,0.024774046375555928,6.224386394336886,5.8548151240982005,9.13848352751264,9.015150827151036,0.9354838709677419,0.967741935483871,0.2693478260869565,0.35,0.35,0.05486776293639407,0.0033307880054026517,0.3697004923221877,5.0,5.0,3.0
2022,30,31.0,0.8387096774193549,0.04294905950110549,0.01766604660261407,0.025283012898491417,0.12693024800555788,0.07347158384908901,0.05345866415646887,6.224386394336886,6.139687643058261,9.13848352751264,9.463708393237575,0.9354838709677419,1.0,0.3971153846153846,0.5,0.5,0.06217496019905044,0.0006471313199379498,0.5026363910706901,7.0,4.0,2.0
2022,14,31.0,0.9032258064516129,0.04294905950110549,0.02157964079859734,0.021369418702508147,0.12693024800555788,0.08352053271444256,0.04340971529111533,6.224386394336886,6.147078479472222,9.13848352751264,9.215520265624928,0.9354838709677419,1.0,0.49616666666666676,0.6066666666666667,0.6066666666666667,0.04174253156334696,0.0007472534684102176,0.40583800536561593,6.0,5.0,2.0
2022,7,31.0,0.9354838709677419,0.04294905950110549,0.02468514500965578,0.018263914491449706,0.12693024800555788,0.09177711121393439,0.03515313679162349,6.224386394336886,6.154219351866186,9.13848352751264,9.139750627374337,0.9354838709677419,1.0,0.5429425287356322,0.6533333333333333,0.6533333333333333,0.0422996008974013,0.0005945807884896828,0.3888718499474639,7.0,5.0,2.0
2022,0,31.0,0.9354838709677419,0.04294905950110549,0.028890541000368787,0.014058518500736701,0.12693024800555788,0.09910898330272258,0.027821264702835302,6.224386394336886,6.005424406337738,9.13848352751264,9.067000946451351,0.9354838709677419,0.967741935483871,0.6034482758620688,0.7,0.7,0.04369950146739942,0.0006288949730616205,0.31378570561064895,9.0,5.0,3.0
2024,120,33.0,0.6666666666666666,0.03338876950388394,0.030877703853943568,0.002511065649940372,0.11168512090651057,0.10779126595991764,0.003893854946592931,5.537059630687409,5.203328362247644,7.471250755260989,6.898210945821697,0.9696969696969697,0.9696969696969697,0.14768181818181822,0.18,0.18,0.017895827134537405,0.003923023859507506,0.07242300725545824,4.0,0.0,0.0
2024,90,33.0,0.696969696969697,0.03338876950388394,0.030349051828413413,0.0030397176754705275,0.11168512090651057,0.10665374363944577,0.005031377267064804,5.537059630687409,5.146895516117513,7.471250755260989,6.66795065248769,0.9696969696969697,0.9696969696969697,0.22697826086956518,0.265,0.265,0.032095142423501255,0.005186017325546988,0.13174960054312745,6.0,4.0,0.0
2024,60,33.0,0.7575757575757576,0.031201452943981432,0.026233456060081966,0.004967996883899466,0.10189968210145356,0.09249849943159602,0.009401182669857538,5.537059630687409,4.940185195738693,7.471250755260989,6.27606752448584,0.9696969696969697,0.9696969696969697,0.29469999999999996,0.35,0.35,0.03882682960149725,0.0029835809344871123,0.21824275095833356,6.0,5.0,0.0
2024,30,33.0,0.8787878787878788,0.02921396814485376,0.024540968466980995,0.0046729996778727655,0.09254773353966968,0.08339183236474557,0.009155901174924111,5.537059630687409,5.005968099337828,7.471250755260989,6.0986050943598675,0.9696969696969697,0.9696969696969697,0.4405172413793104,0.5,0.5,0.0487962705036927,0.0004261339066921251,0.37970003344935876,6.0,5.0,0.0
2024,14,33.0,0.8787878787878788,0.02921396814485376,0.02560920220611824,0.0036047659387355192,0.09254773353966968,0.08672701439074347,0.005820719148926207,5.537059630687409,5.092412207713841,7.471250755260989,6.191194292028762,0.9696969696969697,0.9696969696969697,0.5480919540229886,0.6066666666666667,0.6066666666666667,0.047036680198052495,0.00042793271917052067,0.4079999604563308,7.0,5.0,0.0
2024,7,33.0,0.9393939393939394,0.02921396814485376,0.02574424833064168,0.0034697198142120793,0.09254773353966968,0.08744098577815908,0.005106747761510599,5.537059630687409,4.769467852283532,7.471250755260989,5.781082530694986,0.9696969696969697,0.9696969696969697,0.5700860215053761,0.6533333333333333,0.6533333333333333,0.04114501794986874,0.00011826536154316834,0.39139888696438296,6.0,5.0,0.0
2024,0,33.0,0.9393939393939394,0.02921396814485376,0.024862242540732202,0.004351725604121559,0.09254773353966968,0.0854490361309564,0.007098697408713273,5.537059630687409,4.713339828277848,7.471250755260989,5.623093678626413,0.9696969696969697,0.9696969696969697,0.6148438799314283,0.7,0.7,0.03919463880577357,0.00023858447397051563,0.3370662915896746,6.0,5.0,0.0
