snapshot_id,cycle,state,race_id,days_out,fundamentals_margin_dem,polling_margin_dem,production_bayesian_margin_dem,fundamentals_prob_dem,production_prob_dem,probability_movement,abs_probability_movement,poll_count,pollster_count,effective_poll_count,mean_poll_age_days,production_polling_weight,actual_margin_dem
2018_FL_100_20181106_D090,2018,FL,2018_FL,90,5.3323290544490405,-2.2855548425794354,3.3135898217364943,0.8389063847847836,0.7360241739187795,-0.10288221086600413,0.10288221086600413,27.0,15.0,11.174920020506926,32.94128093379453,0.265,-0.1225183560779328
2024_AZ_9505_20241105_D090,2024,AZ,2024_AZ,90,0.0436633582586227,5.072160095662148,1.376214993670557,0.5033779047790524,0.6048884630359823,0.1015105582569299,0.1015105582569299,36.0,24.0,8.623851958706439,13.697370301242705,0.265,2.4624583141814895
2022_GA_8925_20221108_D060,2022,GA,2022_GA,60,-0.841340674182705,2.245000379132349,0.2388786944775639,0.42111113481487344,0.5225719552138229,0.10146082039894949,0.10146082039894949,29.0,24.0,7.160790894419959,18.147414911443903,0.35,0.9774140180497994
2020_AZ_6268_20201103_D090,2020,AZ,2020_AZ,90,2.341759107726598,8.286736809208778,3.917178198619375,0.6736341131199268,0.7706859673032679,0.09705185418334106,0.09705185418334106,41.0,24.0,13.78325450597491,14.574477734781627,0.265,2.3495227373552865
2024_NV_9521_20241105_D090,2024,NV,2024_NV,90,2.176234680087614,7.853976069691336,3.6808361483326,0.6622742822641129,0.7575054465091364,0.09523116424502354,0.09523116424502354,17.0,12.0,5.794634651706078,17.86675481215542,0.265,1.7457448421834698
2018_AZ_96_20181106_D060,2018,AZ,2018_AZ,60,2.791759107726598,-0.510951429380362,1.6358104197391623,0.7419072719670026,0.6499227925082203,-0.0919844794587823,0.0919844794587823,13.0,8.0,3.1129104466335793,13.917477061519191,0.35,2.402957486136785
2022_NV_8937_20221108_D090,2022,NV,2022_NV,90,1.3662346800876135,6.289438167238606,2.6708836041826265,0.6041500889779531,0.6956179797005181,0.091467890722565,0.091467890722565,14.0,13.0,3.828100511321546,29.401379888123717,0.265,0.801857785545522
2018_MT_110_20181106_D060,2018,MT,2018_MT,60,-15.649328634048878,11.93617803509262,-5.994401299849354,0.0026808849407163413,0.09387477671257269,0.09119389177185634,0.09119389177185634,5.0,5.0,3.441450404800472,25.06109117336849,0.35,3.6569158437772415
2022_NC_8940_20221108_D090,2022,NC,2022_NC,90,-2.448365066373442,2.108394043817172,-1.2408239021729297,0.31915502104871735,0.40516766745628163,0.08601264640756429,0.08601264640756429,13.0,10.0,2.7684059121398352,19.237529011170217,0.265,-3.299253218639862
2020_NC_6284_20201103_D090,2020,NC,2020_NC,90,2.312508392562573,7.245303676400031,3.619699142779499,0.6716409523491041,0.7540132657296468,0.08237231338054263,0.08237231338054263,39.0,23.0,14.47429944975754,14.66475388479773,0.265,-1.826603939251612
2020_NC_6284_20201103_D060,2020,NC,2020_NC,60,2.312508392562573,5.572834658160108,3.45362258552171,0.7057106958713785,0.7868827565262196,0.08117206065484117,0.08117206065484117,50.0,25.0,17.422293164905795,15.15242090831322,0.35,-1.826603939251612
