race_id,cycle,state,election_type,special_election,senate_class,class_assignment_method,class_assignment_notes,seat_id
2016_UT,2016,UT,regular,False,3,regular_cycle,Assigned from the regular six-year Senate election cycle,UT_CLASS_3
2016_VT,2016,VT,regular,False,3,regular_cycle,Assigned from the regular six-year Senate election cycle,VT_CLASS_3
2016_WA,2016,WA,regular,False,3,regular_cycle,Assigned from the regular six-year Senate election cycle,WA_CLASS_3
2016_WI,2016,WI,regular,False,3,regular_cycle,Assigned from the regular six-year Senate election cycle,WI_CLASS_3
2018_AZ,2018,AZ,regular,False,1,regular_cycle,Assigned from the regular six-year Senate election cycle,AZ_CLASS_1
2018_CA,2018,CA,regular,False,1,regular_cycle,Assigned from the regular six-year Senate election cycle,CA_CLASS_1
2018_CT,2018,CT,regular,False,1,regular_cycle,Assigned from the regular six-year Senate election cycle,CT_CLASS_1
2018_DE,2018,DE,regular,False,1,regular_cycle,Assigned from the regular six-year Senate election cycle,DE_CLASS_1
2018_FL,2018,FL,regular,False,1,regular_cycle,Assigned from the regular six-year Senate election cycle,FL_CLASS_1
2018_HI,2018,HI,regular,False,1,regular_cycle,Assigned from the regular six-year Senate election cycle,HI_CLASS_1
2018_IN,2018,IN,regular,False,1,regular_cycle,Assigned from the regular six-year Senate election cycle,IN_CLASS_1
2018_MA,2018,MA,regular,False,1,regular_cycle,Assigned from the regular six-year Senate election cycle,MA_CLASS_1
2018_MD,2018,MD,regular,False,1,regular_cycle,Assigned from the regular six-year Senate election cycle,MD_CLASS_1
2018_ME,2018,ME,regular,False,1,regular_cycle,Assigned from the regular six-year Senate election cycle,ME_CLASS_1
2018_MI,2018,MI,regular,False,1,regular_cycle,Assigned from the regular six-year Senate election cycle,MI_CLASS_1
2018_MN_REGULAR,2018,MN,regular,False,1,regular_cycle,Assigned from the regular six-year Senate election cycle,MN_CLASS_1
2018_MN_SPECIAL,2018,MN,special,True,2,special_election_override,Special election for the Class 2 seat,MN_CLASS_2
2018_MO,2018,MO,regular,False,1,regular_cycle,Assigned from the regular six-year Senate election cycle,MO_CLASS_1
2018_MS_REGULAR,2018,MS,regular,False,1,regular_cycle,Assigned from the regular six-year Senate election cycle,MS_CLASS_1
2018_MS_SPECIAL,2018,MS,special,True,2,special_election_override,Special election for the Class 2 seat,MS_CLASS_2
2018_MT,2018,MT,regular,False,1,regular_cycle,Assigned from the regular six-year Senate election cycle,MT_CLASS_1
2018_ND,2018,ND,regular,False,1,regular_cycle,Assigned from the regular six-year Senate election cycle,ND_CLASS_1
2018_NE,2018,NE,regular,False,1,regular_cycle,Assigned from the regular six-year Senate election cycle,NE_CLASS_1
2018_NJ,2018,NJ,regular,False,1,regular_cycle,Assigned from the regular six-year Senate election cycle,NJ_CLASS_1
2018_NM,2018,NM,regular,False,1,regular_cycle,Assigned from the regular six-year Senate election cycle,NM_CLASS_1
2018_NV,2018,NV,regular,False,1,regular_cycle,Assigned from the regular six-year Senate election cycle,NV_CLASS_1
2018_NY,2018,NY,regular,False,1,regular_cycle,Assigned from the regular six-year Senate election cycle,NY_CLASS_1
2018_OH,2018,OH,regular,False,1,regular_cycle,Assigned from the regular six-year Senate election cycle,OH_CLASS_1
2018_PA,2018,PA,regular,False,1,regular_cycle,Assigned from the regular six-year Senate election cycle,PA_CLASS_1
2018_RI,2018,RI,regular,False,1,regular_cycle,Assigned from the regular six-year Senate election cycle,RI_CLASS_1
2018_TN,2018,TN,regular,False,1,regular_cycle,Assigned from the regular six-year Senate election cycle,TN_CLASS_1
2018_TX,2018,TX,regular,False,1,regular_cycle,Assigned from the regular six-year Senate election cycle,TX_CLASS_1
2018_UT,2018,UT,regular,False,1,regular_cycle,Assigned from the regular six-year Senate election cycle,UT_CLASS_1
2018_VA,2018,VA,regular,False,1,regular_cycle,Assigned from the regular six-year Senate election cycle,VA_CLASS_1
2018_VT,2018,VT,regular,False,1,regular_cycle,Assigned from the regular six-year Senate election cycle,VT_CLASS_1
2018_WA,2018,WA,regular,False,1,regular_cycle,Assigned from the regular six-year Senate election cycle,WA_CLASS_1
2018_WI,2018,WI,regular,False,1,regular_cycle,Assigned from the regular six-year Senate election cycle,WI_CLASS_1
2018_WV,2018,WV,regular,False,1,regular_cycle,Assigned from the regular six-year Senate election cycle,WV_CLASS_1
2018_WY,2018,WY,regular,False,1,regular_cycle,Assigned from the regular six-year Senate election cycle,WY_CLASS_1
2020_AK,2020,AK,regular,False,2,regular_cycle,Assigned from the regular six-year Senate election cycle,AK_CLASS_2
2020_AL,2020,AL,regular,False,2,regular_cycle,Assigned from the regular six-year Senate election cycle,AL_CLASS_2
2020_AR,2020,AR,regular,False,2,regular_cycle,Assigned from the regular six-year Senate election cycle,AR_CLASS_2
2020_AZ,2020,AZ,special,True,3,special_election_override,Special election for the Class 3 seat,AZ_CLASS_3
2020_CO,2020,CO,regular,False,2,regular_cycle,Assigned from the regular six-year Senate election cycle,CO_CLASS_2
2020_DE,2020,DE,regular,False,2,regular_cycle,Assigned from the regular six-year Senate election cycle,DE_CLASS_2
2020_GA_REGULAR,2020,GA,regular,False,2,regular_cycle,Assigned from the regular six-year Senate election cycle,GA_CLASS_2
2020_GA_SPECIAL,2020,GA,special,True,3,special_election_override,Special election for the Class 3 seat,GA_CLASS_3
2020_IA,2020,IA,regular,False,2,regular_cycle,Assigned from the regular six-year Senate election cycle,IA_CLASS_2
2020_ID,2020,ID,regular,False,2,regular_cycle,Assigned from the regular six-year Senate election cycle,ID_CLASS_2
2020_IL,2020,IL,regular,False,2,regular_cycle,Assigned from the regular six-year Senate election cycle,IL_CLASS_2
2020_KS,2020,KS,regular,False,2,regular_cycle,Assigned from the regular six-year Senate election cycle,KS_CLASS_2
2020_KY,2020,KY,regular,False,2,regular_cycle,Assigned from the regular six-year Senate election cycle,KY_CLASS_2
2020_LA,2020,LA,regular,False,2,regular_cycle,Assigned from the regular six-year Senate election cycle,LA_CLASS_2
2020_MA,2020,MA,regular,False,2,regular_cycle,Assigned from the regular six-year Senate election cycle,MA_CLASS_2
2020_ME,2020,ME,regular,False,2,regular_cycle,Assigned from the regular six-year Senate election cycle,ME_CLASS_2
2020_MI,2020,MI,regular,False,2,regular_cycle,Assigned from the regular six-year Senate election cycle,MI_CLASS_2
2020_MN,2020,MN,regular,False,2,regular_cycle,Assigned from the regular six-year Senate election cycle,MN_CLASS_2
2020_MS,2020,MS,regular,False,2,regular_cycle,Assigned from the regular six-year Senate election cycle,MS_CLASS_2
2020_MT,2020,MT,regular,False,2,regular_cycle,Assigned from the regular six-year Senate election cycle,MT_CLASS_2
2020_NC,2020,NC,regular,False,2,regular_cycle,Assigned from the regular six-year Senate election cycle,NC_CLASS_2
2020_NE,2020,NE,regular,False,2,regular_cycle,Assigned from the regular six-year Senate election cycle,NE_CLASS_2
2020_NH,2020,NH,regular,False,2,regular_cycle,Assigned from the regular six-year Senate election cycle,NH_CLASS_2
2020_NJ,2020,NJ,regular,False,2,regular_cycle,Assigned from the regular six-year Senate election cycle,NJ_CLASS_2
2020_NM,2020,NM,regular,False,2,regular_cycle,Assigned from the regular six-year Senate election cycle,NM_CLASS_2
2020_OK,2020,OK,regular,False,2,regular_cycle,Assigned from the regular six-year Senate election cycle,OK_CLASS_2
2020_OR,2020,OR,regular,False,2,regular_cycle,Assigned from the regular six-year Senate election cycle,OR_CLASS_2
2020_RI,2020,RI,regular,False,2,regular_cycle,Assigned from the regular six-year Senate election cycle,RI_CLASS_2
2020_SC,2020,SC,regular,False,2,regular_cycle,Assigned from the regular six-year Senate election cycle,SC_CLASS_2
2020_SD,2020,SD,regular,False,2,regular_cycle,Assigned from the regular six-year Senate election cycle,SD_CLASS_2
2020_TN,2020,TN,regular,False,2,regular_cycle,Assigned from the regular six-year Senate election cycle,TN_CLASS_2
2020_TX,2020,TX,regular,False,2,regular_cycle,Assigned from the regular six-year Senate election cycle,TX_CLASS_2
2020_VA,2020,VA,regular,False,2,regular_cycle,Assigned from the regular six-year Senate election cycle,VA_CLASS_2
2020_WV,2020,WV,regular,False,2,regular_cycle,Assigned from the regular six-year Senate election cycle,WV_CLASS_2
2020_WY,2020,WY,regular,False,2,regular_cycle,Assigned from the regular six-year Senate election cycle,WY_CLASS_2
2022_AK,2022,AK,regular,False,3,regular_cycle,Assigned from the regular six-year Senate election cycle,AK_CLASS_3
2022_AL,2022,AL,regular,False,3,regular_cycle,Assigned from the regular six-year Senate election cycle,AL_CLASS_3
2022_AR,2022,AR,regular,False,3,regular_cycle,Assigned from the regular six-year Senate election cycle,AR_CLASS_3
2022_AZ,2022,AZ,regular,False,3,regular_cycle,Assigned from the regular six-year Senate election cycle,AZ_CLASS_3
