year,state,state_po,dem_candidate,gop_candidate,dem_votes,gop_votes,major_party_votes,totalvotes,dem_vote_share,gop_vote_share,dem_two_party_share,gop_two_party_share,presidential_margin_dem,winner_party,source_dataset,source_doi,source_file,source_status,validation_status
2008,NEW HAMPSHIRE,NH,"OBAMA, BARACK H.","MCCAIN, JOHN",384826,316534,701360,710970,54.126897056134574,44.521428470962206,54.868541120109505,45.131458879890495,9.73708224021901,D,"MIT Election Data and Science Lab, U.S. President 1976-2024",10.7910/DVN/42MVDX,1976-2024-president.csv,authoritative_academic,validated
2008,NEW JERSEY,NJ,"OBAMA, BARACK H.","MCCAIN, JOHN",2215422,1613207,3828629,3868237,57.272137151885985,41.70393385927491,57.86462987142395,42.13537012857605,15.729259742847901,D,"MIT Election Data and Science Lab, U.S. President 1976-2024",10.7910/DVN/42MVDX,1976-2024-president.csv,authoritative_academic,validated
2008,NEW MEXICO,NM,"OBAMA, BARACK H.","MCCAIN, JOHN",472422,346832,819254,830158,56.90748026279335,41.77903483433274,57.66490001879759,42.33509998120241,15.329800037595177,D,"MIT Election Data and Science Lab, U.S. President 1976-2024",10.7910/DVN/42MVDX,1976-2024-president.csv,authoritative_academic,validated
2008,NEVADA,NV,"OBAMA, BARACK H.","MCCAIN, JOHN",533736,412827,946563,967848,55.14667592431869,42.65411510898406,56.3867381251961,43.6132618748039,12.773476250392207,D,"MIT Election Data and Science Lab, U.S. President 1976-2024",10.7910/DVN/42MVDX,1976-2024-president.csv,authoritative_academic,validated
2008,NEW YORK,NY,"OBAMA, BARACK H.","MCCAIN, JOHN",4645332,2418323,7063655,7722019,60.15696154075767,31.3172371111752,65.76385737978426,34.23614262021574,31.527714759568518,D,"MIT Election Data and Science Lab, U.S. President 1976-2024",10.7910/DVN/42MVDX,1976-2024-president.csv,authoritative_academic,validated
2008,OHIO,OH,"OBAMA, BARACK H.","MCCAIN, JOHN",2940044,2677820,5617864,5708350,51.50427006052537,46.91057836327485,52.33384076225413,47.66615923774587,4.667681524508254,D,"MIT Election Data and Science Lab, U.S. President 1976-2024",10.7910/DVN/42MVDX,1976-2024-president.csv,authoritative_academic,validated
2008,OKLAHOMA,OK,"OBAMA, BARACK H.","MCCAIN, JOHN",502496,960165,1462661,1462661,34.354918877306496,65.6450811226935,34.354918877306496,65.6450811226935,-31.290162245387002,R,"MIT Election Data and Science Lab, U.S. President 1976-2024",10.7910/DVN/42MVDX,1976-2024-president.csv,authoritative_academic,validated
2008,OREGON,OR,"OBAMA, BARACK H.","MCCAIN, JOHN",1037291,738475,1775766,1827864,56.748806256920645,40.400981692292206,58.41372117722718,41.58627882277282,16.827442354454362,D,"MIT Election Data and Science Lab, U.S. President 1976-2024",10.7910/DVN/42MVDX,1976-2024-president.csv,authoritative_academic,validated
2008,PENNSYLVANIA,PA,"OBAMA, BARACK H.","MCCAIN, JOHN",3276363,2655885,5932248,6013272,54.48552801203737,44.16705247991443,55.22970381548445,44.77029618451555,10.459407630968897,D,"MIT Election Data and Science Lab, U.S. President 1976-2024",10.7910/DVN/42MVDX,1976-2024-president.csv,authoritative_academic,validated
2008,RHODE ISLAND,RI,"OBAMA, BARACK H.","MCCAIN, JOHN",296571,165391,461962,471766,62.86400461245618,35.057846474735356,64.19813750914578,35.80186249085423,28.396275018291554,D,"MIT Election Data and Science Lab, U.S. President 1976-2024",10.7910/DVN/42MVDX,1976-2024-president.csv,authoritative_academic,validated
2008,SOUTH CAROLINA,SC,"OBAMA, BARACK H.","MCCAIN, JOHN",862449,1034896,1897345,1920969,44.896560017366234,53.873643978637865,45.45557081079087,54.54442918920913,-9.088858378418266,R,"MIT Election Data and Science Lab, U.S. President 1976-2024",10.7910/DVN/42MVDX,1976-2024-president.csv,authoritative_academic,validated
2008,SOUTH DAKOTA,SD,"OBAMA, BARACK H.","MCCAIN, JOHN",170924,203054,373978,381975,44.74743111460174,53.158976372799266,45.704292765884624,54.295707234115376,-8.591414468230752,R,"MIT Election Data and Science Lab, U.S. President 1976-2024",10.7910/DVN/42MVDX,1976-2024-president.csv,authoritative_academic,validated
2008,TENNESSEE,TN,"OBAMA, BARACK H.","MCCAIN, JOHN",1087437,1479178,2566615,2599749,41.82853806271298,56.896954282894235,42.36852819764554,57.63147180235446,-15.262943604708923,R,"MIT Election Data and Science Lab, U.S. President 1976-2024",10.7910/DVN/42MVDX,1976-2024-president.csv,authoritative_academic,validated
2008,TEXAS,TX,"OBAMA, BARACK H.","MCCAIN, JOHN",3528633,4479328,8007961,8077795,43.683121445889626,55.45236045232641,44.06406324905928,55.93593675094072,-11.871873501881439,R,"MIT Election Data and Science Lab, U.S. President 1976-2024",10.7910/DVN/42MVDX,1976-2024-president.csv,authoritative_academic,validated
2008,UTAH,UT,"OBAMA, BARACK H.","MCCAIN, JOHN",327670,596030,923700,952370,34.40574566607516,62.583869714501716,35.47363862725993,64.52636137274007,-29.05272274548014,R,"MIT Election Data and Science Lab, U.S. President 1976-2024",10.7910/DVN/42MVDX,1976-2024-president.csv,authoritative_academic,validated
2008,VIRGINIA,VA,"OBAMA, BARACK H.","MCCAIN, JOHN",1959532,1725005,3684537,3723260,52.62946987317566,46.33050069025531,53.18258440612755,46.81741559387245,6.3651688122551064,D,"MIT Election Data and Science Lab, U.S. President 1976-2024",10.7910/DVN/42MVDX,1976-2024-president.csv,authoritative_academic,validated
2008,VERMONT,VT,"OBAMA, BARACK H.","MCCAIN, JOHN",219262,98974,318236,325046,67.45568319560924,30.449228724549755,68.8991817393381,31.1008182606619,37.79836347867621,D,"MIT Election Data and Science Lab, U.S. President 1976-2024",10.7910/DVN/42MVDX,1976-2024-president.csv,authoritative_academic,validated
2008,WASHINGTON,WA,"OBAMA, BARACK H.","MCCAIN, JOHN",1750848,1229216,2980064,3036878,57.65289221364836,40.47630494211489,58.75202680210895,41.24797319789105,17.5040536042179,D,"MIT Election Data and Science Lab, U.S. President 1976-2024",10.7910/DVN/42MVDX,1976-2024-president.csv,authoritative_academic,validated
2008,WISCONSIN,WI,"OBAMA, BARACK H.","MCCAIN, JOHN",1677211,1262393,2939604,2983417,56.21778651794234,42.31366248834809,57.05567824781841,42.94432175218159,14.111356495636826,D,"MIT Election Data and Science Lab, U.S. President 1976-2024",10.7910/DVN/42MVDX,1976-2024-president.csv,authoritative_academic,validated
