seat_id,state,senate_class,previous_race_id,current_race_id,previous_cycle,current_cycle,cycle_gap,previous_margin_dem,current_margin_dem,seat_swing_dem,previous_generic_ballot_margin_dem,current_generic_ballot_margin_dem,national_swing_dem
RI_CLASS_2,RI,2,2014_RI,2020_RI,2014,2020,6,41.40580795867984,33.17984958322271,-8.225958375457125,-2.4,6.8,9.2
SC_CLASS_2,SC,2,2014_SC_REGULAR,2020_SC,2014,2020,6,-16.640291747625824,-10.415832481506795,6.2244592661190286,-2.4,6.8,9.2
SD_CLASS_2,SD,2,2014_SD,2020_SD,2014,2020,6,-26.113702245101862,-31.470495146578337,-5.356792901476474,-2.4,6.8,9.2
TN_CLASS_2,TN,2,2014_TN,2020_TN,2014,2020,6,-32.00774883825659,-27.770345608038824,4.237403230217765,-2.4,6.8,9.2
TX_CLASS_2,TX,2,2014_TX,2020_TX,2014,2020,6,-28.350913831561822,-9.899042062075353,18.45187176948647,-2.4,6.8,9.2
VA_CLASS_2,VA,2,2014_VA,2020_VA,2014,2020,6,0.8324071060998648,12.09582841271353,11.263421306613665,-2.4,6.8,9.2
WV_CLASS_2,WV,2,2014_WV,2020_WV,2014,2020,6,-28.63206901273449,-44.49214332185656,-15.86007430912207,-2.4,6.8,9.2
WY_CLASS_2,WY,2,2014_WY,2020_WY,2014,2020,6,-61.07227806083574,-46.2715881653659,14.800689895469844,-2.4,6.8,9.2
AL_CLASS_3,AL,3,2016_AL,2022_AL,2016,2022,6,-28.14048093566937,-36.652984262818194,-8.512503327148824,0.6,-1.2,-1.7999999999999998
AR_CLASS_3,AR,3,2016_AR,2022_AR,2016,2022,6,-24.598667778419824,-35.782880140816665,-11.184212362396842,0.6,-1.2,-1.7999999999999998
AZ_CLASS_3,AZ,3,2016_AZ,2022_AZ,2016,2022,6,-13.721830302462408,4.992147589578039,18.713977892040447,0.6,-1.2,-1.7999999999999998
CO_CLASS_3,CO,3,2016_CO,2022_CO,2016,2022,6,6.008906322746697,15.047246386477951,9.038340063731255,0.6,-1.2,-1.7999999999999998
FL_CLASS_3,FL,3,2016_FL,2022_FL,2016,2022,6,-7.961156507461695,-16.587594994456367,-8.626438486994672,0.6,-1.2,-1.7999999999999998
GA_CLASS_3,GA,3,2016_GA,2022_GA,2016,2022,6,-14.35083409806154,0.9774140180497994,15.32824811611134,0.6,-1.2,-1.7999999999999998
HI_CLASS_3,HI,3,2016_HI,2022_HI,2016,2022,6,53.58728838818104,46.45313302387402,-7.13415536430702,0.6,-1.2,-1.7999999999999998
IA_CLASS_3,IA,3,2016_IA,2022_IA,2016,2022,6,-25.52053011012785,-12.196840548191474,13.323689561936376,0.6,-1.2,-1.7999999999999998
ID_CLASS_3,ID,3,2016_ID,2022_ID,2016,2022,6,-40.919804288946835,-35.721031821889774,5.198772467057061,0.6,-1.2,-1.7999999999999998
IL_CLASS_3,IL,3,2016_IL,2022_IL,2016,2022,6,15.935102754485117,15.584397861044309,-0.3507048934408079,0.6,-1.2,-1.7999999999999998
IN_CLASS_3,IN,3,2016_IN,2022_IN,2016,2022,6,-10.261338057669208,-21.495551038239668,-11.23421298057046,0.6,-1.2,-1.7999999999999998
KS_CLASS_3,KS,3,2016_KS,2022_KS,2016,2022,6,-31.70856277582555,-23.66328612885694,8.04527664696861,0.6,-1.2,-1.7999999999999998
KY_CLASS_3,KY,3,2016_KY,2022_KY,2016,2022,6,-14.549104429230924,-23.619806488332387,-9.070702059101462,0.6,-1.2,-1.7999999999999998
LA_CLASS_3,LA,3,2016_LA,2022_LA,2016,2022,6,-21.30922040210089,-55.0418251781291,-33.73260477602821,0.6,-1.2,-1.7999999999999998
MD_CLASS_3,MD,3,2016_MD,2022_MD,2016,2022,6,26.11051851041458,31.743055937654752,5.632537427240173,0.6,-1.2,-1.7999999999999998
MO_CLASS_3,MO,3,2016_MO,2022_MO,2016,2022,6,-2.921537575905546,-13.652645873736844,-10.731108297831298,0.6,-1.2,-1.7999999999999998
NC_CLASS_3,NC,3,2016_NC,2022_NC,2016,2022,6,-5.907120107897768,-3.299253218639862,2.607866889257906,0.6,-1.2,-1.7999999999999998
ND_CLASS_3,ND,3,2016_ND,2022_ND,2016,2022,6,-64.44460759121944,-38.61430712798449,25.83030046323495,0.6,-1.2,-1.7999999999999998
NH_CLASS_3,NH,3,2016_NH,2022_NH,2016,2022,6,0.1435870791394933,9.349948447759571,9.206361368620078,0.6,-1.2,-1.7999999999999998
NV_CLASS_3,NV,3,2016_NV,2022_NV,2016,2022,6,2.646319389070399,0.801857785545522,-1.844461603524877,0.6,-1.2,-1.7999999999999998
NY_CLASS_3,NY,3,2016_NY,2022_NY,2016,2022,6,44.42624578533713,14.075069326686034,-30.351176458651096,0.6,-1.2,-1.7999999999999998
OH_CLASS_3,OH,3,2016_OH,2022_OH,2016,2022,6,-21.926780992967423,-6.114454849606801,15.812326143360622,0.6,-1.2,-1.7999999999999998
OK_CLASS_3,OK,3,2016_OK,2022_OK_REGULAR,2016,2022,6,-46.751914829634586,-33.40665086133072,13.345263968303868,0.6,-1.2,-1.7999999999999998
OR_CLASS_3,OR,3,2016_OR,2022_OR,2016,2022,6,25.851642016256463,15.408528397166307,-10.443113619090155,0.6,-1.2,-1.7999999999999998
PA_CLASS_3,PA,3,2016_PA,2022_PA,2016,2022,6,-1.490360364975828,5.035095542957677,6.525455907933505,0.6,-1.2,-1.7999999999999998
SC_CLASS_3,SC,3,2016_SC,2022_SC,2016,2022,6,-24.245946350276768,-25.896486784856165,-1.6505404345793977,0.6,-1.2,-1.7999999999999998
SD_CLASS_3,SD,3,2016_SD,2022_SD,2016,2022,6,-43.65572315882875,-45.39410721732374,-1.7383840584949937,0.6,-1.2,-1.7999999999999998
UT_CLASS_3,UT,3,2016_UT,2022_UT,2016,2022,6,-43.157093923421826,-10.854978816433643,32.30211510698818,0.6,-1.2,-1.7999999999999998
VT_CLASS_3,VT,3,2016_VT,2022_VT,2016,2022,6,29.946599972962012,41.90937868850685,11.962778715544836,0.6,-1.2,-1.7999999999999998
WA_CLASS_3,WA,3,2016_WA,2022_WA,2016,2022,6,18.026020891574888,14.550585979180894,-3.475434912393993,0.6,-1.2,-1.7999999999999998
WI_CLASS_3,WI,3,2016_WI,2022_WI,2016,2022,6,-3.4665288484603565,-1.0091205339674616,2.457408314492895,0.6,-1.2,-1.7999999999999998
