model_name,cycle,days_before_election,observations,mae,rmse,mean_error,median_absolute_error,winner_accuracy,dem_win_accuracy,gop_win_accuracy,predicted_dem_win_rate,actual_dem_win_rate
Baseline polling: 14-day recency + sqrt sample size,2022,7,29,6.197116815511351,8.188657494952583,2.8210366370087603,4.12241971457258,0.9655172413793104,0.9285714285714286,1.0,0.4482758620689655,0.4827586206896552
Baseline polling: 14-day recency + sqrt sample size,2022,14,28,6.573440316405877,8.943423453910052,3.5097198331331385,4.4111430786342645,1.0,1.0,1.0,0.5,0.5
Baseline polling: 14-day recency + sqrt sample size,2022,30,26,8.70427260064869,11.395761134121857,5.5520402416916905,6.869117139559334,0.9615384615384616,1.0,0.9285714285714286,0.5,0.46153846153846156
Baseline polling: 14-day recency + sqrt sample size,2022,60,23,8.448478259644448,10.919030021353368,3.634900857967756,7.839141808306328,0.9130434782608695,1.0,0.8461538461538461,0.5217391304347826,0.43478260869565216
Baseline polling: 14-day recency + sqrt sample size,2022,90,18,6.166462436643262,7.237158560482883,4.226375491793743,5.447613822075059,0.8333333333333334,1.0,0.6666666666666666,0.6666666666666666,0.5
Baseline polling: 14-day recency + sqrt sample size,2022,120,15,4.354826351189814,5.474597993676629,3.5037749279334487,3.458165494352672,0.8666666666666667,1.0,0.75,0.6,0.4666666666666667
Baseline polling: 14-day recency + sqrt sample size,2024,0,31,4.719243596680169,5.6958203887174585,3.705805071259476,3.899012325339858,0.967741935483871,1.0,0.9285714285714286,0.5806451612903226,0.5483870967741935
Baseline polling: 14-day recency + sqrt sample size,2024,7,31,4.77809037409474,5.7634418249464865,4.025071137126779,3.880342939975975,0.967741935483871,1.0,0.9285714285714286,0.5806451612903226,0.5483870967741935
Baseline polling: 14-day recency + sqrt sample size,2024,14,29,5.482922329161477,6.692289512533999,4.5321859939174285,5.086529424786011,0.9310344827586207,1.0,0.8461538461538461,0.6206896551724138,0.5517241379310345
Baseline polling: 14-day recency + sqrt sample size,2024,30,29,5.573015385797854,6.4318101682466375,4.27772292026118,5.5756163990077825,0.9310344827586207,1.0,0.8461538461538461,0.6206896551724138,0.5517241379310345
Baseline polling: 14-day recency + sqrt sample size,2024,60,25,6.0961511968985596,7.0688926632005336,4.276886655669252,5.359331213770162,0.92,1.0,0.8333333333333334,0.6,0.52
Baseline polling: 14-day recency + sqrt sample size,2024,90,23,6.707156568335844,7.6990331497018225,5.063497385006762,5.6928044738435695,0.9130434782608695,1.0,0.8,0.6521739130434783,0.5652173913043478
Baseline polling: 14-day recency + sqrt sample size,2024,120,22,5.694021074236525,6.580169174612747,3.182664320819815,4.907361747294566,0.9090909090909091,1.0,0.8,0.6363636363636364,0.5454545454545454
