bias_correction_dem,global_sd,races,adjusted_residual_mean,adjusted_residual_sd,margin_mae,margin_rmse,brier,binary_log_loss,margin_negative_log_likelihood,expected_calibration_error,root_mean_squared_calibration_error,maximum_calibration_error,coverage_50,coverage_error_50,absolute_coverage_error_50,coverage_80,coverage_error_80,absolute_coverage_error_80,coverage_95,coverage_error_95,absolute_coverage_error_95,mean_absolute_coverage_error,maximum_absolute_coverage_error,rank_brier,rank_binary_log_loss,rank_margin_negative_log_likelihood,rank_expected_calibration_error,rank_mean_absolute_coverage_error,average_rank,weighted_selection_score,pareto_optimal,recommended
-2.75,7.0,234,1.1478756768573943,11.313899106042696,7.903752583648539,11.34790309143853,0.07862052271237598,0.3269008751928467,4.178878320756722,0.06046953727085905,0.10415476111393006,0.3484425607595639,0.44871794871794873,-0.051282051282051266,0.051282051282051266,0.7008547008547008,-0.09914529914529924,0.09914529914529924,0.8418803418803419,-0.10811965811965807,0.10811965811965807,0.08618233618233619,0.10811965811965807,496.0,724.0,695.0,515.0,542.0,594.4,611.1666666666666,False,False
-2.75,7.25,234,1.1478756768573943,11.313899106042696,7.903752583648539,11.34790309143853,0.07848084753545301,0.3198138671773684,4.124909367804242,0.05907859576180806,0.10095998076761908,0.343591715670718,0.45726495726495725,-0.04273504273504275,0.04273504273504275,0.717948717948718,-0.08205128205128209,0.08205128205128209,0.8504273504273504,-0.09957264957264955,0.09957264957264955,0.0747863247863248,0.09957264957264955,483.0,720.0,668.0,486.0,461.0,563.6,581.0,False,False
-2.75,7.5,234,1.1478756768573943,11.313899106042696,7.903752583648539,11.34790309143853,0.0783742126786228,0.31364045826640247,4.078507372170761,0.05928402073137379,0.10281790706904406,0.39926697376295733,0.47863247863247865,-0.021367521367521347,0.021367521367521347,0.7264957264957265,-0.07350427350427358,0.07350427350427358,0.8632478632478633,-0.08675213675213667,0.08675213675213667,0.06054131054131053,0.08675213675213667,468.0,712.0,641.0,491.0,334.0,529.2,547.8333333333334,False,False
-2.75,7.75,234,1.1478756768573943,11.313899106042696,7.903752583648539,11.34790309143853,0.07829871202164315,0.30827044826237954,4.038638906831573,0.05534262297288092,0.10869496311640489,0.5083006101861474,0.48717948717948717,-0.01282051282051283,0.01282051282051283,0.7393162393162394,-0.06068376068376069,0.06068376068376069,0.8675213675213675,-0.08247863247863241,0.08247863247863241,0.051994301994301974,0.08247863247863241,458.0,701.0,614.0,413.0,265.0,490.2,510.8333333333333,False,False
-2.75,8.0,234,1.1478756768573943,11.313899106042696,7.903752583648539,11.34790309143853,0.07825268936930026,0.30360998198024164,4.004434016858572,0.05225476748991514,0.10521950606542145,0.5038120057916395,0.49572649572649574,-0.004273504273504258,0.004273504273504258,0.7521367521367521,-0.047863247863247915,0.047863247863247915,0.8717948717948718,-0.07820512820512815,0.07820512820512815,0.04344729344729344,0.07820512820512815,453.0,680.0,584.0,341.0,197.0,451.0,473.1666666666667,False,False
-2.75,8.25,234,1.1478756768573943,11.313899106042696,7.903752583648539,11.34790309143853,0.07823469055002442,0.29957865282796337,3.975156542165993,0.0509936003895064,0.09513192969334752,0.3993742036779384,0.5085470085470085,0.008547008547008517,0.008547008547008517,0.7564102564102564,-0.04358974358974366,0.04358974358974366,0.8888888888888888,-0.061111111111111116,0.061111111111111116,0.03774928774928776,0.061111111111111116,450.0,664.0,557.0,325.0,145.0,428.2,449.6666666666667,False,False
-2.75,8.5,234,1.1478756768573943,11.313899106042696,7.903752583648539,11.34790309143853,0.07824342413270816,0.2961071944717829,3.9501805068925018,0.051245161630598744,0.09350660302722553,0.395203020208335,0.5170940170940171,0.017094017094017144,0.017094017094017144,0.7606837606837606,-0.0393162393162394,0.0393162393162394,0.8888888888888888,-0.061111111111111116,0.061111111111111116,0.03917378917378922,0.061111111111111116,451.0,645.0,526.0,329.0,167.0,423.6,440.6666666666667,False,False
-2.75,8.75,234,1.1478756768573943,11.313899106042696,7.903752583648539,11.34790309143853,0.07827772939900032,0.2931356277140238,3.9289712022121073,0.052726935597319606,0.09327689864452612,0.3912525522843723,0.5341880341880342,0.03418803418803418,0.03418803418803418,0.7692307692307693,-0.03076923076923077,0.03076923076923077,0.8931623931623932,-0.05683760683760675,0.05683760683760675,0.040598290598290565,0.05683760683760675,455.0,627.0,489.0,352.0,175.0,419.6,431.1666666666667,False,False
-2.75,9.0,234,1.1478756768573943,11.313899106042696,7.903752583648539,11.34790309143853,0.07833655038381271,0.29061176248984066,3.91106992889077,0.06310610701506193,0.10594764011735518,0.4222095604221403,0.5384615384615384,0.038461538461538436,0.038461538461538436,0.782051282051282,-0.017948717948717996,0.017948717948717996,0.8974358974358975,-0.05256410256410249,0.05256410256410249,0.03632478632478631,0.05256410256410249,463.0,611.0,428.0,554.0,127.0,436.6,435.1666666666667,False,False
-2.75,9.25,234,1.1478756768573943,11.313899106042696,7.903752583648539,11.34790309143853,0.07841891496210873,0.288489978928362,3.8960816147373643,0.06048483867532162,0.10559142868773755,0.4184983779066644,0.5384615384615384,0.038461538461538436,0.038461538461538436,0.7863247863247863,-0.013675213675213738,0.013675213675213738,0.9145299145299145,-0.035470085470085455,0.035470085470085455,0.02920227920227921,0.038461538461538436,475.0,590.0,369.0,516.0,54.0,400.8,395.5,False,False
-2.75,9.5,234,1.1478756768573943,11.313899106042696,7.903752583648539,11.34790309143853,0.07852391811128318,0.2867302292242767,3.883664706175047,0.0613437231994023,0.10328373298412272,0.39196621055368713,0.5512820512820513,0.05128205128205132,0.05128205128205132,0.7948717948717948,-0.005128205128205221,0.005128205128205221,0.9188034188034188,-0.031196581196581197,0.031196581196581197,0.029202279202279247,0.05128205128205132,487.0,570.0,304.0,530.0,60.0,390.2,375.8333333333333,False,False
-2.75,9.75,234,1.1478756768573943,11.313899106042696,7.903752583648539,11.34790309143853,0.07865070861344421,0.28529721538867453,3.8735228705362177,0.06268006325592536,0.10407539836160633,0.388495615694181,0.5555555555555556,0.05555555555555558,0.05555555555555558,0.8076923076923077,0.007692307692307665,0.007692307692307665,0.9230769230769231,-0.026923076923076827,0.026923076923076827,0.030056980056980025,0.05555555555555558,498.0,548.0,238.0,552.0,61.0,379.4,355.8333333333333,True,False
