race,state,chamber,pollster,pollster_grade,sponsor,poll_sponsor_type,partisan_sponsor_party,is_internal_poll,pollster_partisan_affiliation,partisan_pollster_review_notes,start_date,end_date,sample_size,sample_type,dem_candidate,rep_candidate,ind_candidate,other_candidate,dem_pct,rep_pct,ind_pct,other_pct,undecided_pct,notes,dem_pct_original,rep_pct_original,polling_margin_dem_original,partisan_pollster_adjustment_dem,partisan_pollster_weight_multiplier,partisan_pollster_adjusted,partisan_pollster_notes,polling_margin_dem_adjusted,poll_age_days,current_national_environment_dem,state_elasticity,race_environment_sensitivity,national_environment_at_poll_date_dem,reported_margin_dem,recency_half_life_days,recency_weight,pollster_grade_weight,sample_size_weight,population_weight,sponsor_classification,sponsor_weight,partisan_sponsor_adjustment_dem,pollster_house_effect_dem,environment_translation_dem,adjusted_margin_dem,preliminary_poll_weight,final_poll_weight,weighted_margin_component
ME-Senate,ME,Senate,2Way/Wick,C+,,media,,False,,,2026-06-16,2026-06-16,800,LV,Platner,Collins,,,47.6,45.4,0.0,0.0,7.0,,47.6,45.4,2.200000000000003,0.0,1.0,False,No partisan pollster adjustment,2.200000000000003,13,6.6866666666666665,0.75,0.75,,2.200000000000003,35.0,0.7730166686334901,0.85,1.1547005383792515,1.1,neutral,1.0,0.0,0.0,0.0,2.200000000000003,0.8345835838231567,0.8345835838231567,1.836083884410947
MA-Senate,MA,Senate,Suffolk,A,USA Today,media,,False,,,2026-06-08,2026-06-12,800,LV,Markey,Deaton,,,54.0,26.0,0.0,0.0,20.0,,54.0,26.0,28.0,0.0,1.0,False,No partisan pollster adjustment,28.0,17,6.6866666666666665,0.6,0.6,,28.0,35.0,0.7141434062641757,1.2,1.1547005383792515,1.1,neutral,1.0,0.0,0.0,0.0,28.0,1.0885007439150718,1.0885007439150718,30.47802082962201
FL-Senate,FL,Senate,Change Research,B,Change Research,super PAC,D,False,D,,2026-06-11,2026-06-14,1014,LV,Vindman,Moody,,,45.0,47.0,0.0,0.0,8.0,,46.0,46.0,0.0,-2.0,0.5,True,D-sponsored poll: applied -2.0 point Dem-margin adjustment and 0.50 weight multiplier,-2.0,15,6.6866666666666665,0.7,0.7,,-2.0,35.0,0.7429971445684742,1.0,1.3,1.1,partisan,0.8,-1.0,0.0,0.0,-3.0,0.8499887333863345,0.40852052986574233,-1.225561589597227
OH-Senate,OH,Senate,Tulchin,B,,super PAC,D,False,D,,2026-06-12,2026-06-12,600,LV,Brown,Husted,,,45.0,43.0,0.0,4.0,7.0,,46.0,42.0,4.0,-2.0,0.5,True,D-sponsored poll: applied -2.0 point Dem-margin adjustment and 0.50 weight multiplier,2.0,17,6.6866666666666665,0.75,0.75,,2.0,35.0,0.7141434062641757,1.0,1.0,1.1,partisan,0.8,-1.0,0.0,0.0,1.0,0.6284461975124747,0.6284461975124747,0.6284461975124747
MT-Senate,MT,Senate,Public Opinion Strategies,B,,party,R,False,R,,2026-06-08,2026-06-11,500,LV,Bankhead,Alme,Bodnar,,26.25,42.75,20.0,4.0,7.0,,25.0,44.0,-19.0,2.5,0.5,True,R-sponsored internal/campaign poll: applied +2.5 point Dem-margin adjustment and 0.50 weight multiplier,-16.5,18,6.6866666666666665,0.65,0.65,,-16.5,35.0,0.7001394896518027,1.0,0.9128709291752769,1.1,partisan,0.8,1.0,0.0,0.0,-15.5,0.562440548094256,0.562440548094256,-8.717828495460969
FL-Senate,FL,Senate,McLaughlin,B,Associated Industries of Florida,party,R,False,R,,2026-06-03,2026-06-07,800,LV,Vindman,Moody,,,41.25,45.75,0.0,0.0,14.0,,40.0,47.0,-7.0,2.5,0.5,True,R-sponsored internal/campaign poll: applied +2.5 point Dem-margin adjustment and 0.50 weight multiplier,-4.5,22,6.6866666666666665,0.7,0.7,,-4.5,35.0,0.646816582731497,1.0,1.1547005383792515,1.1,partisan,0.8,1.0,0.0,0.0,-3.5,0.6572539215551649,0.6572539215551649,-2.300388725443077
IA-Senate,IA,Senate,GSG,B,,,,False,D,,2026-06-08,2026-06-11,800,LV,Turek,Hinson,,,46.0,46.0,0.0,0.0,8.0,,47.0,45.0,2.0,-2.0,0.5,True,D-sponsored poll: applied -2.0 point Dem-margin adjustment and 0.50 weight multiplier,0.0,18,6.6866666666666665,0.75,0.75,,0.0,35.0,0.7001394896518027,1.0,1.1547005383792515,1.1,neutral,1.0,-0.0,0.0,0.0,0.0,0.8892965902056621,0.8055776404456215,0.0
TX-Senate,TX,Senate,YouGov,A-,Texas Political Project,,,False,,,2026-06-05,2026-06-12,1200,RV,Talarico,Paxton,,,42.0,43.0,0.0,6.0,10.0,,42.0,43.0,-1.0,0.0,1.0,False,No partisan pollster adjustment,-1.0,17,6.6866666666666665,0.75,0.75,,-1.0,35.0,0.7141434062641757,1.1,1.35,1.0,neutral,1.0,0.0,0.0,0.0,-1.0,1.0605029583023011,1.0605029583023011,-1.0605029583023011
OH-Senate,OH,Senate,Fabrizio Ward,B,AARP,independent,,False,,,2026-06-14,2026-06-16,800,LV,Brown,Husted,,,48.0,45.0,0.0,0.0,7.0,,48.0,45.0,3.0,0.0,1.0,False,No partisan pollster adjustment,3.0,13,6.6866666666666665,0.75,0.75,,3.0,35.0,0.7730166686334901,1.0,1.1547005383792515,1.1,unknown,0.85,0.0,0.0,0.0,3.0,0.8345835838231568,0.7331873383038808,2.1995620149116424
IA-Senate,IA,Senate,Cygnal,B,Iowans for Tax Relief,other,R,False,R,,2026-06-16,2026-06-19,600,LV,Turek,Hinson,,,45.2,45.0,0.0,0.0,9.8,,44.2,46.0,-1.7999999999999972,2.0,0.5,True,R-sponsored poll: applied +2.0 point Dem-margin adjustment and 0.50 weight multiplier,0.2000000000000028,10,6.6866666666666665,0.75,0.75,,0.20000000000000284,35.0,0.820335356007638,1.0,1.0,1.1,partisan,0.8,1.0,0.0,0.0,1.2000000000000028,0.7218951132867215,0.7218951132867215,0.8662741359440679
ME-Senate,ME,Senate,Siena,A+,New York Times,media,,False,,,2026-06-19,2026-06-26,608,LV,Platner,Collins,,,49.0,47.0,0.0,0.5,3.5,,49.0,47.0,2.0,0.0,1.0,False,No partisan pollster adjustment,2.0,3,6.6866666666666665,0.75,0.75,,2.0,35.0,0.9423178739918807,1.2,1.0066445913694333,1.1,neutral,1.0,0.0,0.0,0.0,2.0,1.2521245323901642,1.2521245323901642,2.5042490647803284
