timestamp,run_date,n_sims,days_out,expected_dem_seats,median_dem_seats,dem_control_probability,dem_control_threshold,national_environment_margin,polling_weight,fundamentals_weight,national_error_sd,race_error_sd,total_error_sd,implied_correlation
2026-06-09T17:45:42,2026-06-09,20000.0,147.0,49.42375,49.0,0.3414,51.0,7.1083333333333325,0.4233333333333333,0.5766666666666667,4.616735017544566,2.864763321618191,5.433333333333334,0.722
2026-06-09T17:54:32,2026-06-09,20000.0,147.0,49.44105,49.0,0.3447,51.0,7.1083333333333325,0.4233333333333333,0.5766666666666667,4.616735017544566,2.864763321618191,5.433333333333334,0.722
2026-06-09T18:18:18,2026-06-09,20000.0,147.0,49.43005,49.0,0.34275,51.0,7.1083333333333325,0.4233333333333333,0.5766666666666667,4.616735017544566,2.864763321618191,5.433333333333334,0.722
2026-06-09T18:25:12,2026-06-09,20000.0,147.0,49.43005,49.0,0.34275,51.0,7.1083333333333325,0.4233333333333333,0.5766666666666667,4.616735017544566,2.864763321618191,5.433333333333334,0.722
2026-06-09T18:48:18,2026-06-09,20000.0,147.0,49.42515,49.0,0.34215,51.0,7.1083333333333325,0.4233333333333333,0.5766666666666667,4.616735017544566,2.864763321618191,5.433333333333334,0.722
2026-06-09T19:58:20,2026-06-09,20000.0,147.0,49.42515,49.0,0.34215,51.0,7.1083333333333325,0.4233333333333333,0.5766666666666667,4.616735017544566,2.864763321618191,5.433333333333334,0.722
2026-06-09T20:22:04,2026-06-09,20000.0,147.0,49.42515,49.0,0.34215,51.0,7.1083333333333325,0.4233333333333333,0.5766666666666667,4.616735017544566,2.864763321618191,5.433333333333334,0.722
2026-06-10T07:48:46,2026-06-10,20000.0,146.0,49.41815,49.0,0.3411,51.0,7.1083333333333325,0.4255555555555556,0.5744444444444444,4.609420448649481,2.8554749087905695,5.4222222222222225,0.7226666666666667
2026-06-10T10:03:13,2026-06-10,20000.0,146.0,49.41175,49.0,0.3402,51.0,7.091666666666666,0.4255555555555556,0.5744444444444444,4.609420448649481,2.8554749087905695,5.4222222222222225,0.7226666666666667
2026-06-11T10:06:33,2026-06-11,20000.0,145.0,49.40995,49.0,0.33985,51.0,7.0841666666666665,0.4277777777777777,0.5722222222222222,4.602096185480211,2.8461964367166583,5.4111111111111105,0.7233333333333333
2026-06-12T07:16:04,2026-06-12,20000.0,144.0,49.45855,49.0,0.34625,51.0,7.211666666666667,0.43,0.5700000000000001,4.594762235415451,2.8369279158977587,5.3999999999999995,0.724
2026-06-12T08:45:59,2026-06-12,20000.0,144.0,49.45855,49.0,0.34625,51.0,7.211666666666667,0.43,0.5700000000000001,4.594762235415451,2.8369279158977587,5.3999999999999995,0.724
2026-06-12T11:33:56,2026-06-12,20000.0,144.0,49.43295,49.0,0.34305,51.0,7.1433333333333335,0.43,0.5700000000000001,4.594762235415451,2.8369279158977587,5.3999999999999995,0.724
